Name	Tm	Elig Pos	RBI	HR	AVG	SB	AB	H	R	BB	SO	OBP	SLG	OPS
Neda, Rafael	Mil(NRI)	C,UT	0	0	.000	0	0	0	0	0	0	.000	.000	.000
Nelson, Brad	ChC(NRI)	UT,OF	0	0	.000	0	0	0	0	0	0	.000	.000	.000
Nieves, Wil	Ari	C,UT	8	2	.301	0	83	25	7	4	17	.330	.410	.739
Olivo, Miguel	Cin(NRI)	C,UT	29	12	.222	3	315	70	27	7	85	.239	.381	.620
Oropesa, Ricky	SF(NRI)	1B,CM,UT	0	0	.000	0	0	0	0	0	0	.000	.000	.000
Orr, Pete	Phi(NRI)	UT,MI,2B	7	0	.315	3	54	17	6	1	18	.327	.444	.772
Pagan, Angel	SF	UT,OF	56	8	.288	29	605	174	95	48	97	.338	.440	.778
Pagnozzi, Matt	Atl(NRI)	C,UT	0	0	.000	0	0	0	0	0	0	.000	.000	.000
Parraz, Jordan	Atl(NRI)	UT,OF	0	0	.000	0	0	0	0	0	0	.000	.000	.000
Pastornicky, Tyler	Atl	UT,MI,SS	13	2	.243	2	169	41	21	10	32	.287	.325	.613
Paul, Xavier	Cin	UT,OF	7	2	.314	4	86	27	8	9	18	.379	.465	.844
Paulino, Carlos	Pit(NRI)	C,UT	0	0	.000	0	0	0	0	0	0	.000	.000	.000
Paulsen, Ben	Col(NRI)	1B,CM,UT	0	0	.000	0	0	0	0	0	0	.000	.000	.000
Peguero, Francisco	SF	UT,OF	0	0	.187	3	16	3	6	0	7	.187	.187	.375
Pena, Ramiro	Atl	UT,MI,SS	0	0	.250	0	4	1	0	0	0	.250	.250	.500
Pence, Hunter	SF	UT,OF	104	24	.253	5	617	156	87	56	145	.319	.425	.743
Pennington, Cliff	Ari	UT,MI,2B,SS	28	6	.215	15	418	90	50	35	90	.278	.311	.589
Perez, Audry	StL(NRI)	C,UT	0	0	.000	0	0	0	0	0	0	.000	.000	.000
Perez, Rossmel	Ari(NRI)	C,UT	0	0	.000	0	0	0	0	0	0	.000	.000	.000
Petit, Gregorio	SD(NRI)	MI,UT,2B	0	0	.000	0	0	0	0	0	0	.000	.000	.000
Phipps, Denis	Cin(NRI)	UT,OF	2	1	.300	0	10	3	4	1	4	.364	.700	1.06
Pie, Felix	Pit(NRI)	UT,OF	0	0	.000	0	0	0	0	0	0	.000	.000	.000
Pill, Brett	SF	1B,CM,UT	11	4	.210	1	105	22	10	6	19	.265	.352	.618
Pollock, A.J.	Ari	UT,OF	8	2	.247	1	81	20	8	9	11	.315	.395	.710
Posey, Buster	SF	1B,CM,C,UT	103	24	.336	1	530	178	78	69	96	.408	.549	.957
Powell, Landon	NYM(NRI)	C,UT	0	0	.000	0	0	0	0	0	0	.000	.000	.000
Prado, Martin	Ari	CM,UT,3B,OF	70	10	.301	17	617	186	81	58	69	.359	.438	.796
