Rk,Name,Age,Tm,Yrs,G,GS,Batting,Defense,P,C,1B,2B,3B,SS,LF,CF,RF,OF,PH,PR
250,Roger Metzger\metzgro01,28,HOU,7,152,151,152,152,0,0,0,2,0,150,0,0,0,0,0,0
251,Larry Milbourne\milbola01,25,HOU,3,59,32,59,32,0,0,0,32,0,0,0,0,0,0,20,7
252,Felix Millan\millafe01,32,NYM,11,139,133,139,136,0,0,0,136,0,0,0,0,0,0,4,0
253,Bruce Miller\millebr01,29,SFG,4,12,6,12,10,0,0,0,8,2,0,0,0,0,0,3,1
254,John Milner\milnejo01,26,NYM,6,127,115,127,117,0,0,12,0,0,0,112,0,0,112,12,0
255,Greg Minton\mintogr01,24,SFG,2,11,2,11,10,10,0,0,0,0,0,0,0,0,0,0,1
256,George Mitterwald\mittege01,31,CHC,10,101,75,101,87,0,64,25,0,0,0,0,0,0,0,16,0
257,Randy Moffitt\moffira01,27,SFG,5,58,0,58,58,58,0,0,0,0,0,0,0,0,0,0,0
258,Rick Monday\mondari01,30,CHC,11,137,131,137,133,0,0,32,0,0,0,5,99,0,103,5,1
259,Willie Montanez\montawi01,28,2TM,8,163,160,163,161,0,0,161,0,0,0,0,0,0,0,2,0
260,John Montefusco\montejo01,26,SFG,3,38,36,38,37,37,0,0,0,0,0,0,0,0,0,0,1
261,Junior Moore\mooreju01,23,ATL,1st,20,3,20,7,0,0,0,1,6,0,1,0,0,1,14,1
262,Bob Moose\moosebo01,28,PIT,10,53,2,53,53,53,0,0,0,0,0,0,0,0,0,0,0
263,Jerry Morales\moralje01,27,CHC,8,140,135,140,136,0,0,0,0,0,0,0,9,133,136,5,0
264,Jose Morales\moraljo01,31,MON,4,104,17,104,31,0,12,21,0,0,0,0,0,0,0,82,0
265,Omar Moreno\morenom01,23,PIT,2,48,28,48,42,0,0,0,0,0,0,0,41,1,42,6,2
266,Roger Moret\moretro01,26,ATL,7,27,12,27,27,27,0,0,0,0,0,0,0,0,0,0,0
267,Joe Morgan\morgajo02,32,CIN,14,141,131,141,133,0,0,0,133,0,0,0,0,0,0,8,2
268,Carl Morton\mortoca01,32,ATL,8,27,24,27,26,26,0,0,0,0,0,0,0,0,0,0,1
269,Manny Mota\motama01,38,LAD,15,50,3,50,6,0,0,0,0,0,0,6,0,0,6,47,0
270,Jerry Mumphrey\mumphje01,23,STL,3,112,88,112,95,0,0,0,0,0,0,14,79,12,95,14,4
271,Bobby Murcer\murcebo01,30,SFG,10,147,145,147,146,0,0,0,0,0,0,0,0,146,146,2,0
272,Dale Murphy\murphda05,20,ATL,1st,19,17,19,19,0,19,0,0,0,0,0,0,0,0,0,0
273,Dale Murray\murrada01,26,MON,3,81,0,81,81,81,0,0,0,0,0,0,0,0,0,0,0
274,Bob Myrick\myricbo01,23,NYM,1st,21,1,21,21,21,0,0,0,0,0,0,0,0,0,0,0
275,Bill Nahorodny\nahorbi01,22,PHI,1st,3,1,3,2,0,2,0,0,0,0,0,0,0,0,2,0
276,Joe Niekro\niekrjo01,31,HOU,10,36,13,36,36,36,0,0,0,0,0,0,0,0,0,0,0
277,Phil Niekro\niekrph01,37,ATL,13,38,37,38,38,38,0,0,0,0,0,0,0,0,0,0,0
278,Gary Nolan\nolanga01,28,CIN,9,34,34,34,34,34,0,0,0,0,0,0,0,0,0,0,0
279,Fred Norman\normafr01,33,CIN,12,33,24,33,33,33,0,0,0,0,0,0,0,0,0,0,0
280,Johnny Oates\oatesjo01,30,PHI,6,37,26,37,33,0,33,0,0,0,0,0,0,0,0,8,1
