Rk,Name,Age,Tm,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W
97,Tug McGraw*\mcgratu01,27,NYM,8,6,.571,1.70,54,0,47,0,0,27,106.0,71,26,20,3,40,11,92,3,0,2,419,198,2.25,1.047,6.0,0.3,3.4,7.8,2.30
98,Jim McKee\mckeeji02,25,PIT,1,0,1.000,0.00,2,0,1,0,0,0,5.0,2,0,0,0,1,0,4,0,0,0,18,,1.40,0.600,3.6,0.0,1.8,7.2,4.00
99,Denny McLain\mclaide01,28,ATL,3,5,.375,6.50,15,8,5,2,0,1,54.0,60,41,39,12,18,0,21,1,2,1,237,58,5.57,1.444,10.0,2.0,3.0,3.5,1.17
100,Don McMahon\mcmahdo02,42,SFG,3,3,.500,3.71,44,0,27,0,0,5,63.0,46,26,26,8,21,3,45,1,0,2,253,95,3.67,1.063,6.6,1.1,3.0,6.4,2.14
101,Mike McQueen*\mcquemi01,21,ATL,0,5,.000,4.60,23,7,8,1,0,1,78.1,79,45,40,11,44,3,40,1,0,3,357,82,4.93,1.570,9.1,1.3,5.1,4.6,0.91
102,Jim Merritt*\merriji01,28,CIN,1,0,1.000,4.50,4,1,0,0,0,0,8.0,13,4,4,1,2,1,4,0,0,0,38,76,3.77,1.875,14.6,1.1,2.3,4.5,2.00
103,Pete Mikkelsen\mikkepe01,32,LAD,5,5,.500,4.06,33,0,17,0,0,5,57.2,65,32,26,3,23,4,41,5,1,3,265,83,3.11,1.526,10.1,0.5,3.6,6.4,1.78
104,Bob Miller\millebo04,33,PIT,5,2,.714,2.65,36,0,18,0,0,3,54.1,54,19,16,3,24,7,18,1,0,0,237,128,3.83,1.436,8.9,0.5,4.0,3.0,0.75
105,Randy Moffitt\moffira01,23,SFG,1,5,.167,3.69,40,0,20,0,0,4,70.2,72,31,29,5,30,6,37,2,0,7,307,95,3.63,1.443,9.2,0.6,3.8,4.7,1.23
106,Balor Moore*\mooreba02,21,MON,9,9,.500,3.47,22,22,0,6,3,0,147.2,122,61,57,15,59,5,161,5,3,7,612,102,2.84,1.226,7.4,0.9,3.6,9.8,2.73
107,Tommy Moore\mooreto01,23,NYM,0,0,,2.92,3,1,0,0,0,0,12.1,12,4,4,1,1,0,5,0,0,1,47,119,2.89,1.054,8.8,0.7,0.7,3.6,5.00
108,Bob Moose\moosebo01,24,PIT,13,10,.565,2.91,31,30,1,6,3,1,226.0,213,84,73,11,47,9,144,4,1,6,927,116,2.43,1.150,8.5,0.4,1.9,5.7,3.06
109,John Morris*\morrijo06,30,SFG,0,0,,4.26,7,0,5,0,0,0,6.1,9,6,3,2,2,0,5,0,0,0,31,88,5.87,1.737,12.8,2.8,2.8,7.1,2.50
110,Carl Morton\mortoca01,28,MON,7,13,.350,3.92,27,27,0,3,1,0,172.0,170,84,75,16,53,6,51,3,2,1,722,90,3.99,1.297,8.9,0.8,2.8,2.7,0.96
111,Jim Nash\nashji01,27,TOT,1,9,.100,5.90,20,12,4,0,0,1,68.2,81,53,45,7,42,3,25,3,0,9,321,63,4.96,1.791,10.6,0.9,5.5,3.3,0.60
112,Jim Nash\nashji01,27,ATL,1,1,.500,5.46,11,4,4,0,0,1,31.1,35,20,19,2,25,1,10,0,0,6,143,70,4.98,1.915,10.1,0.6,7.2,2.9,0.40
113,Jim Nash\nashji01,27,PHI,0,8,.000,6.27,9,8,0,0,0,0,37.1,46,33,26,5,17,2,15,3,0,3,178,58,4.94,1.688,11.1,1.2,4.1,3.6,0.88
114,Gary Neibauer\neibaga01,27,TOT,0,2,.000,6.25,17,2,7,0,0,0,36.0,44,27,25,7,20,0,15,2,0,2,170,60,5.93,1.778,11.0,1.8,5.0,3.8,0.75
115,Gary Neibauer\neibaga01,27,ATL,0,0,,7.27,8,0,2,0,0,0,17.1,27,15,14,6,6,0,8,1,0,2,83,53,7.19,1.904,14.0,3.1,3.1,4.2,1.33
116,Gary Neibauer\neibaga01,27,PHI,0,2,.000,5.30,9,2,5,0,0,0,18.2,17,12,11,1,14,0,7,1,0,0,87,69,4.76,1.661,8.2,0.5,6.8,3.4,0.50
