Rk,Name,Age,Tm,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos Summary
297,Steve Ontiveros#\ontivst01,28,CHC,31,91,77,7,16,3,0,1,3,0,0,14,17,.208,.330,.286,.615,69,22,1,0,0,0,1,5
298,Ed Ott*\otted01,28,PIT,120,430,392,35,102,14,0,8,41,1,6,33,47,.260,.317,.357,.674,86,140,9,0,4,1,8,*2/7
299,Jim Otten\ottenji01,28,STL,31,5,5,0,1,0,0,0,0,0,0,0,1,.200,.200,.200,.400,11,1,0,0,0,0,0,1
300,John Pacella\paceljo01,23,NYM,32,22,20,0,2,1,0,0,1,0,0,0,7,.100,.100,.150,.250,-30,3,0,0,2,0,0,1
301,David Palmer\palmeda01,22,MON,25,49,45,3,9,2,0,0,3,0,0,2,15,.200,.234,.244,.478,34,11,0,0,2,0,0,1
302,Dave Parker*\parkeda01,29,PIT,139,550,518,71,153,31,1,17,79,10,7,25,69,.295,.327,.458,.785,115,237,8,2,0,5,5,*9
303,Larry Parrish\parrila01,26,MON,126,501,452,55,115,27,3,15,72,2,6,36,80,.254,.310,.427,.737,104,193,12,4,1,8,6,*5
304,Frank Pastore\pastofr01,22,CIN,27,73,64,0,10,0,0,0,5,0,0,3,23,.156,.194,.156,.350,-1,10,2,0,6,0,0,1
305,Bob Pate\patebo01,26,MON,23,45,39,3,10,2,0,0,5,0,1,3,6,.256,.295,.308,.603,69,12,0,0,1,2,0,9/7
306,Tony Pena\penato01,23,PIT,8,21,21,1,9,1,1,0,1,0,1,0,4,.429,.429,.571,1.000,174,12,1,0,0,0,0,/2
307,Jack Perconte*\percoja01,25,LAD,14,21,17,2,4,0,0,0,2,3,0,2,1,.235,.316,.235,.551,57,4,1,0,2,0,0,/4
308,Pascual Perez\perezpa01,23,PIT,2,4,4,1,1,0,0,0,0,0,0,0,2,.250,.250,.250,.500,39,1,0,0,0,0,0,/1
309,Broderick Perkins*\perkibr01,25,SDP,43,111,100,18,37,9,0,2,14,2,1,11,10,.370,.432,.520,.952,173,52,0,0,0,0,1,39
310,Joe Pettini\pettijo01,25,SFG,63,218,190,19,44,3,1,1,9,5,2,17,33,.232,.295,.274,.568,62,52,3,0,11,0,1,65/4
311,Mike Phillips*\phillmi01,29,STL,63,138,128,13,30,5,0,0,7,0,0,9,17,.234,.283,.273,.556,54,35,7,0,0,1,3,6/45
312,Gordie Pladson\pladsgo01,23,HOU,12,11,10,1,0,0,0,0,0,0,0,1,5,.000,.091,.000,.091,-71,0,0,0,0,0,0,1
313,Biff Pocoroba#\pocorbi01,26,ATL,70,96,83,7,22,4,0,2,8,1,0,11,11,.265,.347,.386,.733,103,32,2,0,1,1,0,2
314,Joe Price\pricejo02,23,CIN,24,42,39,1,5,0,0,0,0,0,0,0,6,.128,.128,.128,.256,-28,5,1,0,3,0,0,1
315,Terry Puhl*\puhlte01,23,HOU,141,609,535,75,151,24,5,13,55,27,11,60,52,.282,.357,.419,.776,124,224,3,4,6,3,3,*98/7
316,Luis Pujols\pujollu01,24,HOU,78,238,221,15,44,6,1,0,20,0,0,13,29,.199,.245,.235,.480,40,52,5,1,1,2,3,2/5
317,Tim Raines#\raineti01,20,MON,15,27,20,5,1,0,0,0,0,5,0,6,3,.050,.269,.050,.319,-5,1,0,0,1,0,0,/47
318,Mario Ramirez\ramirma01,22,NYM,18,26,24,2,5,0,0,0,0,0,0,1,7,.208,.240,.208,.448,28,5,1,0,1,0,0,/645
319,Rafael Ramirez\ramirra01,22,ATL,50,174,165,17,44,6,1,2,11,2,1,2,33,.267,.292,.352,.644,77,58,2,4,3,0,0,6
320,Bobby Ramos\ramosbo01,24,MON,13,37,32,5,5,2,0,0,2,0,0,5,5,.156,.270,.219,.489,39,7,1,0,0,0,0,2
321,Mike Ramsey#\ramsemi01,26,STL,59,129,126,11,33,8,1,0,8,0,0,3,17,.262,.279,.341,.620,70,43,2,0,0,0,2,46/5
322,Lenny Randle#\randlle01,31,CHC,130,549,489,67,135,19,6,5,39,19,13,50,55,.276,.343,.370,.713,94,181,13,1,7,2,2,*54/78
323,Eric Rasmussen\rasmuer01,28,SDP,40,27,21,0,2,2,0,0,0,0,0,0,8,.095,.095,.190,.286,-20,4,0,0,6,0,0,1
324,Steve Ratzer\ratzest01,26,MON,1,1,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,0,0,0,0,0,0,/1
325,Jeff Reardon\reardje01,24,NYM,61,9,8,0,0,0,0,0,0,0,0,1,6,.000,.111,.000,.111,-66,0,0,0,0,0,0,1
326,Ron Reed\reedro01,37,PHI,55,10,10,0,3,1,0,0,0,0,0,0,2,.300,.300,.400,.700,91,4,0,0,0,0,0,1
327,Ken Reitz\reitzke01,29,STL,151,561,523,39,141,33,0,8,58,0,1,22,44,.270,.300,.379,.679,86,198,16,3,8,5,5,*5
328,Rick Reuschel\reuscri01,31,CHC,44,93,82,4,13,3,1,0,5,0,0,1,23,.159,.169,.220,.388,5,18,0,0,10,0,0,1
329,Jerry Reuss*\reussje01,31,LAD,37,78,68,4,6,1,0,1,3,0,0,6,25,.088,.162,.147,.309,-12,10,0,0,4,0,0,1
330,Craig Reynolds*\reynocr01,27,HOU,137,418,381,34,86,9,6,3,28,2,1,20,39,.226,.262,.304,.566,64,116,4,0,13,4,1,*6
331,Rick Rhoden\rhoderi01,27,PIT,20,45,40,3,15,3,0,1,11,0,0,1,2,.375,.390,.525,.915,151,21,0,0,4,0,0,1
332,J.R. Richard\richaj.01,30,HOU,17,43,39,2,6,2,0,1,3,0,0,0,15,.154,.154,.282,.436,24,11,0,0,4,0,0,1
333,Gene Richards*\richage01,26,SDP,158,712,642,91,193,26,8,4,41,61,16,61,73,.301,.363,.385,.748,115,247,9,2,7,0,7,*7/9
334,George Riley*\rileyge01,23,CHC,22,2,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,0,0,0,1,0,0,1
335,Andy Rincon\rincoan01,21,STL,4,13,12,0,3,0,0,0,1,0,0,0,5,.250,.250,.250,.500,38,3,1,0,1,0,0,/1
336,Allen Ripley\ripleal01,27,SFG,23,44,40,2,6,0,1,0,2,0,0,1,14,.150,.171,.200,.371,5,8,1,0,3,0,0,1
337,Bert Roberge\roberbe01,25,HOU,14,4,3,0,0,0,0,0,0,0,0,0,2,.000,.000,.000,.000,-100,0,1,0,1,0,0,1
338,Dave Roberts*\roberda05,35,PIT,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,/1
339,Bill Robinson\robinbi02,37,PIT,100,294,272,28,78,10,1,12,36,1,4,15,45,.287,.320,.463,.783,114,126,9,0,3,4,2,379
340,Don Robinson\robindo01,23,PIT,30,57,57,4,19,4,0,1,8,0,1,0,12,.333,.333,.456,.789,116,26,0,0,0,0,0,1
341,Aurelio Rodriguez\rodriau01,32,SDP,89,183,175,7,35,7,2,2,13,1,1,6,26,.200,.227,.297,.524,49,52,5,0,2,0,0,5/6
342,Steve Rogers\rogerst01,30,MON,38,106,81,7,13,0,0,0,7,0,0,10,28,.160,.253,.160,.413,18,13,0,0,15,0,0,1
343,Enrique Romo\romoen01,32,PIT,75,15,11,2,5,0,0,1,4,0,0,2,2,.455,.538,.727,1.266,247,8,0,0,2,0,0,1
344,Jim Rooker\rookeji01,37,PIT,4,8,7,1,1,0,0,1,2,0,0,0,2,.143,.143,.571,.714,89,4,0,0,1,0,0,/1
345,Luis Rosado\rosadlu01,24,NYM,2,4,4,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,1,0,0,0,0,/3
346,Pete Rose#\rosepe01,39,PHI,162,739,655,95,185,42,1,1,64,12,8,66,33,.282,.352,.354,.706,94,232,13,6,4,4,5,*3
347,Mike Rowland\rowlami01,27,SFG,19,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
348,Jerry Royster\roystje01,27,ATL,123,435,392,42,95,17,5,1,20,22,13,37,48,.242,.309,.319,.627,74,125,6,1,4,1,1,457
349,Vern Ruhle\ruhleve01,29,HOU,28,57,49,7,12,3,0,0,2,0,0,4,15,.245,.302,.306,.608,77,15,2,0,4,0,0,1
350,Chico Ruiz\ruizch02,28,ATL,25,29,26,3,8,2,1,0,2,0,1,3,7,.308,.379,.462,.841,132,12,0,0,0,0,0,5/64
351,Bill Russell\russebi01,31,LAD,130,500,466,38,123,23,2,3,34,13,2,18,44,.264,.295,.341,.636,79,159,6,3,12,1,0,*6
352,Dick Ruthven\ruthvdi01,29,PHI,33,82,68,7,16,5,1,0,8,1,1,2,22,.235,.257,.338,.595,62,23,1,0,12,0,0,1
353,Nolan Ryan\ryanno01,33,HOU,35,83,70,5,6,0,0,1,6,0,1,7,29,.086,.167,.129,.295,-13,9,0,0,5,1,0,1
354,Mike Sadek\sadekmi01,34,SFG,64,183,151,14,38,4,1,1,16,0,0,27,18,.252,.363,.311,.674,93,47,3,0,4,1,6,2
355,Luis Salazar\salazlu01,24,SDP,44,183,169,28,57,4,7,1,25,11,2,9,25,.337,.372,.462,.834,138,78,4,1,3,1,1,5/89
356,Joe Sambito*\sambijo01,28,HOU,64,10,9,0,0,0,0,0,0,0,0,1,5,.000,.100,.000,.100,-69,0,0,0,0,0,0,1
357,Scott Sanderson\sandesc01,23,MON,33,74,64,3,5,3,0,0,1,0,0,2,33,.078,.106,.125,.231,-35,8,1,0,8,0,0,1
358,Manny Sanguillen\sanguma01,36,PIT,47,53,48,2,12,3,0,0,2,3,2,3,1,.250,.294,.313,.607,68,15,1,0,2,0,2,/3
359,Kevin Saucier*\saucike01,23,PHI,40,8,8,0,0,0,0,0,0,0,0,0,4,.000,.000,.000,.000,-100,0,0,0,0,0,0,1
360,Mike Schmidt\schmimi01,30,PHI,150,652,548,104,157,25,8,48,121,12,5,89,119,.286,.380,.624,1.004,171,342,6,2,0,13,10,*5
361,Mike Scioscia*\sciosmi01,21,LAD,54,152,134,8,34,5,1,1,8,1,0,12,9,.254,.313,.328,.641,81,44,2,0,5,1,2,2
362,Mike Scott\scottmi03,25,NYM,6,11,9,0,1,0,0,0,1,0,0,2,5,.111,.273,.111,.384,13,1,0,0,0,0,0,/1
363,Rodney Scott#\scottro01,26,MON,154,655,567,84,127,13,13,0,46,63,13,70,75,.224,.307,.293,.600,69,166,10,1,11,6,0,*46
