Rk,Name,Age,Tm,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos Summary
275,Dave Martinez*\martida01,23,CHC,75,283,256,27,65,10,1,4,34,7,3,21,46,.254,.311,.348,.659,86,89,2,2,0,4,5,8/9
276,Dave Martinez*\martida01,23,MON,63,211,191,24,49,3,5,2,12,16,6,17,48,.257,.316,.356,.672,90,68,1,0,2,1,3,89/7
277,Dennis Martinez\martide01,34,MON,34,90,78,2,15,2,0,0,7,0,0,1,25,.192,.213,.218,.430,22,17,0,1,10,0,0,1
278,Ramon Martinez*\martira02,20,LAD,9,8,7,0,0,0,0,0,0,0,0,0,3,.000,.000,.000,.000,-100,0,0,0,1,0,0,/1
279,Greg Mathews\mathegr01,26,STL,13,25,23,1,4,0,0,0,0,0,0,0,7,.174,.208,.174,.382,11,4,1,1,1,0,0,1
280,Lee Mazzilli#\mazzile01,33,NYM,68,132,116,9,17,2,0,0,12,4,1,12,16,.147,.227,.164,.391,17,19,3,1,0,3,0,37/9
281,Lloyd McClendon\mcclell01,29,CIN,72,157,137,9,30,4,0,3,14,4,0,15,22,.219,.301,.314,.615,75,43,6,2,1,2,1,237/95
282,Bob McClure\mcclubo01,36,TOT,33,2,2,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,0,0,0,0,0,0,1
283,Bob McClure\mcclubo01,36,MON,19,2,2,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,0,0,0,0,0,0,1
284,Bob McClure\mcclubo01,36,NYM,14,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
285,Lance McCullers#\mcculla01,24,SDP,60,9,8,0,2,0,0,0,0,0,0,1,3,.250,.333,.250,.583,71,2,0,0,0,0,0,1
286,Roger McDowell\mcdowro01,27,NYM,63,9,9,1,3,3,0,0,2,0,0,0,5,.333,.333,.667,1.000,188,6,0,0,0,0,0,1
287,Andy McGaffigan\mcgafan01,31,MON,63,6,5,1,0,0,0,0,0,0,0,1,4,.000,.167,.000,.167,-49,0,0,0,0,0,0,1
288,Willie McGee#\mcgeewi01,29,STL,137,600,562,73,164,24,6,3,50,41,6,32,84,.292,.329,.372,.701,101,209,10,1,2,3,5,*8
289,Terry McGriff\mcgrite01,24,CIN,35,109,96,9,19,3,0,1,4,1,0,12,31,.198,.284,.260,.545,56,25,3,0,0,1,0,2
290,Kevin McReynolds\mcreyke01,28,NYM,147,600,552,82,159,30,2,27,99,21,0,38,56,.288,.336,.496,.832,142,274,6,4,1,5,3,*7/8
291,Larry McWilliams*\mcwilla01,34,STL,45,40,37,6,6,1,0,0,3,0,0,0,12,.162,.205,.189,.394,14,7,0,2,1,0,0,1
292,Louie Meadows*\meadolo01,27,HOU,35,48,42,5,8,0,1,2,3,4,2,6,8,.190,.292,.381,.673,96,16,1,0,0,0,0,/798
293,Dave Meads*\meadsda01,24,HOU,22,6,4,1,1,0,0,0,0,0,0,2,2,.250,.500,.250,.750,127,1,0,0,0,0,0,1
294,Scott Medvin\medvisc01,26,PIT,17,4,3,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,0,0,0,1,0,0,1
295,Dave Meier\meierda01,28,CHC,2,5,5,0,2,0,0,0,1,0,0,0,1,.400,.400,.400,.800,127,2,0,0,0,0,0,/5
296,Francisco Melendez*\melenfr01,24,SFG,23,29,26,1,5,0,0,0,3,0,0,3,2,.192,.276,.192,.468,40,5,1,0,0,0,0,/37
297,Bob Melvin\melvibo01,26,SFG,92,288,273,23,64,13,1,8,27,0,2,13,46,.234,.268,.377,.646,87,103,5,0,1,1,0,2/3
298,Brian Meyer\meyerbr01,25,HOU,8,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,/1
299,Keith Miller\milleke01,25,NYM,40,79,70,9,15,1,1,1,5,0,5,6,10,.214,.276,.300,.576,70,21,1,0,3,0,0,4/659
300,Keith Miller#\milleke02,25,PHI,47,53,48,4,8,3,0,0,6,0,0,5,13,.167,.245,.229,.474,37,11,0,0,0,0,0,/57896
301,Randy Milligan\millira01,26,PIT,40,103,82,10,18,5,0,3,8,1,2,20,24,.220,.379,.390,.769,124,32,2,1,0,0,0,3/7
302,Eddie Milner*\milneed01,33,CIN,23,55,51,3,9,1,0,0,2,2,2,4,9,.176,.236,.196,.432,24,10,0,0,0,0,0,8/79
303,John Mitchell\mitchjo02,22,NYM,1,1,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,0,0,0,0,0,0,/1
304,Kevin Mitchell\mitchke01,26,SFG,148,566,505,60,127,25,7,19,80,5,5,48,85,.251,.319,.442,.760,121,223,9,5,1,7,7,57
305,Brad Moore\moorebr01,24,PHI,5,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,/1
306,Keith Moreland\morelke01,34,SDP,143,562,511,40,131,23,0,5,64,2,3,40,51,.256,.305,.331,.636,84,169,17,0,2,9,6,37/5
307,John Morris*\morrijo07,27,STL,20,39,38,3,11,2,1,0,3,0,0,1,7,.289,.308,.395,.702,100,15,0,0,0,0,0,7/89
308,Jim Morrison\morriji01,35,ATL,51,105,92,6,14,2,0,2,13,0,1,10,13,.152,.229,.239,.468,33,22,2,0,0,3,1,5/71
309,Jamie Moyer*\moyerja01,25,CHC,34,71,60,4,5,1,0,0,1,0,0,3,25,.083,.127,.100,.227,-35,6,2,0,8,0,0,1
310,Terry Mulholland\mulhote01,25,SFG,9,16,14,2,0,0,0,0,0,0,0,2,9,.000,.125,.000,.125,-60,0,0,0,0,0,0,/1
311,Jerry Mumphrey#\mumphje01,35,CHC,63,73,66,3,9,2,0,0,9,0,0,7,16,.136,.219,.167,.386,11,11,3,0,0,0,2,/7
312,Dale Murphy\murphda05,32,ATL,156,671,592,77,134,35,4,24,77,3,5,74,125,.226,.313,.421,.734,106,249,24,2,0,3,16,*9
313,Rob Murphy*\murphro01,28,CIN,76,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
314,Randy Myers*\myersra01,25,NYM,55,4,4,1,1,1,0,0,1,0,0,0,2,.250,.250,.500,.750,116,2,0,0,0,0,0,1
315,Rob Nelson*\nelsoro03,24,SDP,7,23,21,4,4,0,0,1,3,0,0,2,9,.190,.261,.333,.594,71,7,0,0,0,0,0,/3
316,Graig Nettles*\nettlgr01,43,MON,80,104,93,5,16,4,0,1,14,0,0,9,19,.172,.240,.247,.488,39,23,4,0,0,2,2,5/3
317,Al Nipper\nippeal01,29,CHC,22,25,23,0,2,1,0,0,0,0,0,0,6,.087,.087,.130,.217,-39,3,1,0,2,0,0,1
318,Donell Nixon\nixondo01,26,SFG,59,89,78,15,27,3,0,0,6,11,8,10,12,.346,.420,.385,.805,138,30,1,0,1,0,0,78
319,Otis Nixon#\nixonot01,29,MON,90,305,271,47,66,8,2,0,15,46,13,28,42,.244,.312,.288,.600,71,78,0,0,4,2,0,87
320,Eric Nolte*\nolteer01,24,SDP,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,/1
321,Ed Nunez\nunezed01,25,NYM,10,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
322,Tom O'Malley*\o'malto01,27,MON,14,31,27,3,7,0,0,0,2,0,0,3,4,.259,.323,.259,.582,67,7,0,0,0,1,1,/5
323,Randy O'Neal\o'neara01,27,STL,10,20,19,0,0,0,0,0,0,0,0,0,4,.000,.000,.000,.000,-100,0,0,0,1,0,0,1
324,Paul O'Neill*\o'neipa01,25,CIN,145,533,485,58,122,25,3,16,73,8,6,38,65,.252,.306,.414,.720,102,201,7,2,3,5,5,*93/8
325,Ken Oberkfell*\oberkke01,32,TOT,140,529,476,49,129,22,4,3,42,4,5,37,34,.271,.321,.353,.674,92,168,8,2,6,8,7,*54/63
326,Ken Oberkfell*\oberkke01,32,ATL,120,469,422,42,117,20,4,3,40,4,5,32,28,.277,.325,.365,.690,95,154,6,2,5,8,6,*5/4
327,Ken Oberkfell*\oberkke01,32,PIT,20,60,54,7,12,2,0,0,2,0,0,5,6,.222,.288,.259,.547,60,14,2,0,1,0,1,4/653
328,Ron Oester#\oestero01,32,CIN,54,163,150,20,42,7,0,0,10,0,2,9,24,.280,.319,.327,.645,83,49,2,0,3,1,3,4/6
329,Bob Ojeda*\ojedabo01,30,NYM,30,66,61,0,10,1,0,0,3,0,0,1,22,.164,.177,.180,.358,6,11,0,0,4,0,0,1
330,Ed Olwine\olwined01,30,ATL,16,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
331,Jose Oquendo#\oquenjo01,24,STL,148,518,451,36,125,10,1,7,46,4,6,52,40,.277,.350,.350,.700,102,158,8,0,12,3,7,4563/98721
332,Jesse Orosco\oroscje01,31,LAD,55,2,2,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0,1
333,Junior Ortiz\ortizju01,28,PIT,49,132,118,8,33,6,0,2,18,1,4,9,9,.280,.336,.381,.717,108,45,6,2,1,2,0,2
334,Pat Pacillo\pacilpa01,24,CIN,6,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0,/1
335,Tom Pagnozzi\pagnoto01,25,STL,81,209,195,17,55,9,0,0,15,0,0,11,32,.282,.319,.328,.647,86,64,5,0,2,1,1,32/5
336,Vicente Palacios\palacvi01,24,PIT,7,9,8,0,0,0,0,0,0,0,0,1,5,.000,.111,.000,.111,-65,0,0,0,0,0,0,/1
337,Rafael Palmeiro*\palmera01,23,CHC,152,629,580,75,178,41,5,8,53,12,2,38,34,.307,.349,.436,.785,121,253,11,3,2,6,6,*7/398
338,David Palmer\palmeda01,30,PHI,22,48,39,6,10,4,0,2,6,0,0,0,4,.256,.256,.513,.769,116,20,1,0,9,0,0,1
339,Jim Pankovits\pankoji01,32,HOU,68,153,140,13,31,7,1,2,12,2,1,8,28,.221,.272,.329,.600,75,46,1,2,2,1,0,45/3
340,Al Pardo#\pardoal01,25,PHI,2,2,2,0,0,0,0,0,0,0,0,0,2,.000,.000,.000,.000,-100,0,0,0,0,0,0,/2
341,Johnny Paredes\paredjo01,25,MON,35,104,91,6,17,2,0,1,10,5,2,9,17,.187,.282,.242,.523,50,22,1,3,1,0,0,4/9
342,Mark Parent\parenma01,26,SDP,41,125,118,9,23,3,0,6,15,0,0,6,23,.195,.232,.373,.605,72,44,1,0,0,1,0,2
343,Jeff Parrett\parreje01,26,MON,61,1,0,0,0,0,0,0,0,0,0,1,0,,1.000,,,,0,0,0,0,0,0,1
344,Lance Parrish\parrila02,32,PHI,123,478,424,44,91,17,2,15,60,0,0,47,93,.215,.293,.370,.663,89,157,11,2,0,5,7,*2/3
345,Al Pedrique\pedrial01,27,PIT,50,137,128,7,23,5,0,0,4,0,0,8,17,.180,.234,.219,.452,32,28,4,1,0,0,2,6/5
346,Alejandro Pena\penaal01,29,LAD,60,6,6,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0,1
347,Tony Pena\penato01,31,STL,149,546,505,55,133,23,1,10,51,6,2,33,60,.263,.308,.372,.680,94,188,12,1,3,4,11,*2/3
348,Terry Pendleton#\pendlte01,27,STL,110,421,391,44,99,20,2,6,53,3,3,21,51,.253,.293,.361,.653,86,141,9,2,4,3,4,5
349,Pascual Perez\perezpa01,31,MON,41,64,54,6,2,0,0,0,0,0,1,3,25,.037,.103,.037,.140,-59,2,0,1,6,0,0,1
350,Tony Perezchica\perezto02,22,SFG,7,11,8,1,1,0,0,0,1,0,0,2,1,.125,.273,.125,.398,20,1,0,0,0,1,0,/4
351,Gerald Perry*\perryge01,27,ATL,141,595,547,61,164,29,1,8,74,29,14,36,49,.300,.338,.400,.739,109,219,18,1,1,10,9,*3
352,Pat Perry*\perrypa02,29,TOT,47,3,3,1,1,0,0,1,2,0,0,0,0,.333,.333,1.333,1.667,350,4,0,0,0,0,0,1
353,Pat Perry*\perrypa02,29,CIN,12,2,2,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,0,0,0,0,0,0,1
354,Pat Perry*\perrypa02,29,CHC,35,1,1,1,1,0,0,1,2,0,0,0,0,1.000,1.000,4.000,5.000,1248,4,0,0,0,0,0,1
355,Steve Peters*\peterst01,25,STL,44,3,3,0,0,0,0,0,0,0,0,0,2,.000,.000,.000,.000,-100,0,0,0,0,0,0,1
356,Jeff Pico\picoje01,22,CHC,29,37,34,0,5,0,0,0,1,0,0,1,10,.147,.171,.147,.318,-9,5,0,0,2,0,0,1
357,Joe Price\pricejo02,31,SFG,38,11,8,0,0,0,0,0,0,0,0,1,4,.000,.111,.000,.111,-65,0,0,0,2,0,0,1
358,Tom Prince\princto01,23,PIT,29,80,74,3,13,2,0,0,6,0,0,4,15,.176,.218,.203,.421,23,15,5,0,2,0,0,2
359,Terry Puhl*\puhlte01,31,HOU,113,272,234,42,71,7,2,3,19,22,4,35,30,.303,.395,.389,.784,131,91,0,1,1,1,3,79/8
360,Charlie Puleo\puleoch01,33,ATL,53,17,13,1,3,0,0,0,1,0,1,0,5,.231,.231,.231,.462,31,3,0,0,4,0,0,1
361,Luis Quinones#\quinolu01,26,CIN,23,57,52,4,12,3,0,1,11,1,1,2,11,.231,.255,.346,.601,69,18,0,0,2,1,1,6/45
362,Dan Quisenberry\quiseda01,35,STL,33,2,1,0,0,0,0,0,0,0,0,1,0,.000,.500,.000,.500,56,0,0,0,0,0,0,1
363,Tim Raines#\raineti01,28,MON,109,488,429,66,116,19,7,12,48,33,7,53,44,.270,.350,.431,.782,120,185,8,2,0,4,14,7
364,Rafael Ramirez\ramirra01,30,HOU,155,597,566,51,156,30,5,6,59,3,2,18,61,.276,.298,.378,.677,97,214,16,3,4,6,6,*6
365,Dennis Rasmussen*\rasmude01,29,TOT,31,82,70,7,14,2,0,0,4,0,0,4,23,.200,.250,.229,.479,39,16,2,1,6,1,0,1
366,Dennis Rasmussen*\rasmude01,29,CIN,11,22,22,1,5,1,0,0,1,0,0,0,6,.227,.227,.273,.500,41,6,0,0,0,0,0,1
367,Dennis Rasmussen*\rasmude01,29,SDP,20,60,48,6,9,1,0,0,3,0,0,4,17,.188,.259,.208,.468,37,10,2,1,6,1,0,1
368,Shane Rawley\rawlesh01,32,PHI,32,69,57,0,6,2,0,0,1,0,0,1,19,.105,.121,.140,.261,-25,8,1,0,11,0,0,1
369,Randy Ready\readyra01,28,SDP,114,380,331,43,88,16,2,7,39,6,2,39,38,.266,.346,.390,.735,113,129,3,3,4,3,1,547/9
370,Gary Redus\redusga01,31,PIT,30,88,71,12,14,2,0,2,4,5,2,15,19,.197,.341,.310,.651,91,22,1,1,0,1,0,7/98
371,Jeff Reed*\reedje02,25,TOT,92,295,265,20,60,9,2,1,16,1,0,28,41,.226,.299,.287,.586,67,76,5,0,1,1,1,2
372,Jeff Reed*\reedje02,25,MON,43,138,123,10,27,3,2,0,9,1,0,13,22,.220,.292,.276,.568,62,34,3,0,1,1,1,2
373,Jeff Reed*\reedje02,25,CIN,49,157,142,10,33,6,0,1,7,0,0,15,19,.232,.306,.296,.602,71,42,2,0,0,0,0,2
