Rk,Name,Age,Tm,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W
116,Sid Monge*\mongesi01,31,PHI,7,1,.875,3.75,47,0,12,0,0,2,72.0,70,35,30,8,22,3,43,2,0,3,305,99,3.97,1.278,8.8,1.0,2.8,5.4,1.95
117,John Montefusco\montejo01,32,SDP,10,11,.476,4.00,32,32,0,1,0,0,184.1,177,93,82,17,41,2,83,3,1,2,770,87,3.73,1.183,8.6,0.8,2.0,4.1,2.02
118,Donnie Moore\mooredo01,28,ATL,3,1,.750,4.23,16,0,5,0,0,1,27.2,32,13,13,1,7,3,17,2,1,0,121,90,2.93,1.410,10.4,0.3,2.3,5.5,2.43
119,Paul Moskau\moskapa01,28,PIT,1,3,.250,4.37,13,5,2,0,0,0,35.0,43,21,17,7,8,0,15,0,1,2,152,87,5.15,1.457,11.1,1.8,2.1,3.9,1.88
120,Steve Mura\murast01,27,STL,12,11,.522,4.05,35,30,2,7,1,0,184.1,196,89,83,16,80,4,84,0,1,9,795,90,4.24,1.497,9.6,0.8,3.9,4.1,1.05
121,Tom Niedenfuer\niedeto01,22,LAD,3,4,.429,2.71,55,0,24,0,0,9,69.2,71,22,21,3,25,8,60,2,0,1,299,130,2.72,1.378,9.2,0.4,3.2,7.8,2.40
122,Joe Niekro\niekrjo01,37,HOU,17,12,.586,2.47,35,35,0,16,5,0,270.0,224,79,74,12,64,1,130,5,0,19,1067,135,3.10,1.067,7.5,0.4,2.1,4.3,2.03
123,Phil Niekro\niekrph01,43,ATL,17,4,.810,3.61,35,35,0,4,2,0,234.1,225,106,94,23,73,1,144,3,1,4,969,104,3.74,1.272,8.6,0.9,2.8,5.5,1.97
124,Randy Niemann*\niemara01,26,PIT,1,1,.500,5.09,20,0,8,0,0,1,35.1,34,22,20,1,17,4,26,2,1,4,157,75,3.23,1.443,8.7,0.3,4.3,6.6,1.53
125,Dickie Noles\nolesdi01,25,CHC,10,13,.435,4.42,31,30,1,2,2,0,171.0,180,99,84,11,61,2,85,5,6,4,744,84,3.72,1.409,9.5,0.6,3.2,4.5,1.39
126,Jesse Orosco*\oroscje01,25,NYM,4,10,.286,2.72,54,2,22,0,0,4,109.1,92,37,33,7,40,2,89,2,2,3,451,135,3.07,1.207,7.6,0.6,3.3,7.3,2.23
127,Rick Ownbey\ownberi01,24,NYM,1,2,.333,3.75,8,8,0,2,0,0,50.1,44,23,21,3,43,1,28,0,3,0,232,98,4.94,1.728,7.9,0.5,7.7,5.0,0.65
128,David Palmer\palmeda01,24,MON,6,4,.600,3.18,13,13,0,1,0,0,73.2,60,34,26,3,36,2,46,2,1,6,312,115,3.55,1.303,7.3,0.4,4.4,5.6,1.28
129,Frank Pastore\pastofr01,24,CIN,8,13,.381,3.97,31,29,0,3,2,0,188.1,210,86,83,13,57,8,94,4,0,4,812,93,3.59,1.418,10.0,0.6,2.7,4.5,1.65
130,Alejandro Pena\penaal01,23,LAD,0,2,.000,4.79,29,0,11,0,0,0,35.2,37,24,19,2,21,7,20,1,1,1,160,74,4.17,1.626,9.3,0.5,5.3,5.0,0.95
131,Pascual Perez\perezpa01,25,ATL,4,4,.500,3.06,16,11,2,0,0,0,79.1,85,35,27,4,17,3,29,0,1,2,333,123,3.28,1.286,9.6,0.5,1.9,3.3,1.71
132,Gordie Pladson\pladsgo01,25,HOU,0,0,,54.00,2,0,1,0,0,0,1.1,10,8,8,0,2,0,0,0,0,0,16,8,7.22,9.000,67.5,0.0,13.5,0.0,0.00
133,Ted Power\powerte01,27,LAD,1,1,.500,6.68,12,4,4,0,0,0,33.2,38,27,25,4,23,1,15,0,3,3,160,53,5.42,1.812,10.2,1.1,6.1,4.0,0.65
134,Joe Price*\pricejo02,25,CIN,3,4,.429,2.85,59,1,17,0,0,3,72.2,73,26,23,7,32,8,71,4,0,1,318,130,3.50,1.445,9.0,0.9,4.0,8.8,2.22
135,Mike Proly\prolymi01,31,CHC,5,3,.625,2.30,44,1,6,0,0,1,82.0,77,22,21,5,22,5,24,2,1,0,331,162,3.80,1.207,8.5,0.5,2.4,2.6,1.09
136,Charlie Puleo\puleoch01,27,NYM,9,9,.500,4.47,36,24,8,1,1,1,171.0,179,99,85,13,90,7,98,2,2,3,759,82,4.17,1.573,9.4,0.7,4.7,5.2,1.09
