Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Sean Mellen",,0.048,0.0559,0.0172,4.59297,0.7914,0.0444,0,0,,1,4.385,1.001,0.5452,0.51033,0.149111,0.423,0.0209,0.0398,0.8537,7.6833,3.807,2.0182,1.342,0.194686,0.0964652,0.09822119027376175,0.255214,1.424,0.291804,0.723147,0.367996,,4.75458,-0.004038,-0.0470134,999,,,,,,,6.800000000000001,6.800000000000001,7,7,,,,,,,,,,,,,,,,,,,"Sean Mellen","sa3011865",673920
"Nate Ackenhausen","KCR",0.0476,0.0544,0.0112,4.64022,0.8574,0.0304,0,0,,1,4.435,1.0058,0.5535,0.51558,0.134333,0.4859,0.0229,0.0435,0.8391,7.5519,4.3731,1.7269,1.209,0.1892,0.10956,0.07963923364877701,0.257528,1.4917,0.297209,0.719681,0.408993,,4.79147,-0.0040382,-0.0449403,999,,,,,,,6.800000000000001,6.800000000000001,7,7,,,,,,,,,,,,,,,,,,,"Nate Ackenhausen","sa3025507",806004
"Joe Jones",,0.0468,0.0552,0.0112,4.64823,0.8582,0.0302,0,0,,1,4.405,1.0166,0.5546,0.51647,0.138778,0.4319,0.0228,0.0495,0.8137,7.3233,3.8871,1.884,1.249,0.184722,0.0980477,0.08667423576116562,0.259099,1.4485,0.295451,0.712719,0.419012,,4.75605,-0.0040545,-0.0470134,999,,,,,,,6.800000000000001,6.800000000000001,7,7,,,,,,,,,,,,,,,,,,,"Joe Jones","sa3014870",691839
"Peter Van Loon",,0.048,0.053,0.0077,4.64481,0.8961,0.0221,0,0,,1,4.373,1.0075,0.5521,0.51609,0.151778,0.3945,0.0236,0.0546,0.8598,7.7382,3.5505,2.17947,1.366,0.196616,0.0902127,0.1064029261469841,0.25676,1.402,0.293828,0.714495,0.397272,,4.73595,-0.00406026,-0.0495773,999,,,,,,,6.800000000000001,6.800000000000001,7,7,,,,,,,,,,,,,,,,,,,"Peter Van Loon","sa3017543",687967
"Jack Little","DET",0.0448,0.0532,0,4.74786,1,0,0,0,,1,4.384,1.0195,0.5616,0.52754,0.159778,0.3808,0.0265,0.043,0.7749,6.9741,3.4272,2.03493,1.438,0.176756,0.0868613,0.08989507704973221,0.257437,1.4003,0.284157,0.71281,0.34524,,4.93385,-0.00406419,-0.0483544,999,,,,,,,6.800000000000001,6.800000000000001,7,7,,,,,,,,,,,,,,,,,,,"Jack Little","26152",669193
"Victor Juarez","COL",0.0425,0.0583,0.0057,5.32224,0.9019,0.0209,0,0,,1,4.435,1.1463,0.6294,0.59136,0.168,0.3397,0.0241,0.0506,0.7288,6.5592,3.0573,2.14542,1.512,0.164329,0.0765953,0.0877339318394661,0.283408,1.486,0.310779,0.684842,0.417047,,5.03244,-0.00407531,-0.0344493,999,,,,,,,6.800000000000001,6.800000000000001,7,7,,,,,,,,,,,,,,,,,,,"Victor Juarez","sa3016226",692589
"Robbie Baker",,0.0457,0.0522,0,4.69539,1,0,0,0,,1,4.373,1.0328,0.5574,0.52171,0.151444,0.3817,0.0265,0.0389,0.8032,7.2288,3.4353,2.10427,1.363,0.183673,0.0872856,0.09638691693544388,0.26131,1.4145,0.294005,0.712778,0.384998,,4.75931,-0.00408113,-0.0470039,999,,,,,,,6.800000000000001,6.800000000000001,7,7,,,,,,,,,,,,,,,,,,,"Robbie Baker","sa3008103",682595
"Danny Watson","NYY",0.0476,0.0504,0,4.50378,1,0,0,0,,1,4.346,1.014,0.5365,0.50042,0.157556,0.3449,0.0264,0.0503,0.7834,7.0506,3.1041,2.27138,1.418,0.180258,0.0793603,0.10089736431837082,0.256657,1.3589,0.284548,0.722467,0.394277,,4.80216,-0.00409825,-0.0499466,999,,,,,,,6.800000000000001,6.800000000000001,7,7,,,,,,,,,,,,,,,,,,,"Danny Watson","sa3017952",702130
"Bryce Tassin",,0.048,0.0595,0.0267,4.68621,0.6677,0.0707,0,0,,1,4.393,1.0637,0.561,0.52069,0.137556,0.3835,0.0174,0.0455,0.7247,6.5223,3.4515,1.8897,1.238,0.164967,0.087298,0.07766900956630707,0.26834,1.4472,0.298588,0.706348,0.447991,,4.76096,-0.00409962,-0.0470039,999,,,,,,,6.800000000000001,6.800000000000001,7,7,,,,,,,,,,,,,,,,,,,"Bryce Tassin","sa3010814",687001
"Jake Thompson",,0.0458,0.0522,0,4.67118,1,0,0,0,,1,4.411,1.0215,0.5568,0.51902,0.138889,0.4326,0.0268,0.0498,0.8138,7.3242,3.8934,1.88118,1.25,0.184493,0.098073,0.08642031252384186,0.260016,1.4541,0.296585,0.712338,0.414999,,4.76029,-0.00410225,-0.0470134,999,,,,,,,6.800000000000001,6.800000000000001,7,7,,,,,,,,,,,,,,,,,,,"Jake Thompson","sa738914",642141
