Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR,NameASCII,PlayerId,MLBAMID
"Mookie Betts","LAD",150,663,20,95,82,8,0.092006033,0.102564102,0.147707979,0.258317025,0.258064516,0.325791855,0.405772495,0.31784157628551374,0.3380093711587557,103.82600808653768,-0.3313895515166223,2.6750579027190944,8.616137504577637,3.4123542926125174,"Mookie Betts",13611,605141
"Hunter Goodman","COL",144,579,31,73,91,1,0.056994818,0.262521588,0.242592593,0.331476323,0.277777777,0.322970639,0.52037037,0.3587744185549813,0.33230651749504936,117.70424184789086,-2.4102510306984186,9.739016714008063,4.1954667046666145,3.3968253134786615,"Hunter Goodman",29715,696100
"Dansby Swanson","CHC",159,645,24,84,77,20,0.072868217,0.260465116,0.172881356,0.297766749,0.244067796,0.29968944,0.416949152,0.3095082416319365,0.35528728449456043,99.40050492924945,4.7421546671539545,4.283865557778008,6.894751861691475,3.3395567792225505,"Dansby Swanson",18314,621020
"James Wood","WSN",157,689,31,87,94,15,0.123367198,0.320754716,0.219063545,0.3495702,0.255852842,0.349782293,0.474916387,0.35281340211148476,0.36848692767387997,127.29375842430733,-0.8517836704850197,21.436507414084037,-12.581394672393799,3.2516272035357385,"James Wood",29518,695578
"Xander Bogaerts","SDP",136,552,11,63,53,20,0.086956521,0.170289855,0.128309572,0.299492385,0.262729124,0.328493647,0.391038696,0.3131875612222365,0.334885371496918,103.86734386363368,1.6729235965758562,4.20307245091101,8.927435398101807,3.222649486588198,"Xander Bogaerts",12161,593428
"Patrick Bailey","SFG",135,452,6,47,55,1,0.066371681,0.294247787,0.102689487,0.307971014,0.222493887,0.276785714,0.325183374,0.26539691338049515,0.26593015871325326,69.7839235772586,-2.626504151150584,-18.813666065386524,35.22990369796753,3.218379784034217,"Patrick Bailey",27478,672275
"CJ Abrams","WSN",144,635,19,92,60,31,0.058267716,0.196850393,0.175862069,0.296127562,0.256896551,0.315457413,0.43275862,0.32365244561085393,0.31812627469947174,107.31756540218946,7.371014513075352,12.878261370517475,-3.3364992141723633,3.1380419029091504,"CJ Abrams",25768,682928
"Drake Baldwin","ATL",124,446,19,56,80,0,0.085201793,0.152466367,0.195061728,0.289308176,0.274074074,0.340807174,0.469135802,0.3506518264255182,0.36216089222997827,125.32199832860624,-1.4987492691725492,11.886517781926445,3.9120153188705444,3.1347544211987524,"Drake Baldwin",31539,686948
"Bryson Stott","PHI",147,560,13,66,66,24,0.096428571,0.1625,0.134268537,0.288220551,0.256513026,0.327956989,0.390781563,0.3152057655837848,0.31774080505918983,99.90073669076088,3.849933385848999,3.7840507475456033,7.914202451705933,3.1033471899024505,"Bryson Stott",26294,681082
"Eugenio Suárez","ARI",106,437,36,64,87,1,0.066361556,0.267734553,0.328165375,0.25,0.248062015,0.320366132,0.57622739,0.37501682163378514,0.35016114121183345,141.49949484494167,-4.050755329430103,17.443304480055215,-2.0820560455322266,3.059375039134119,"Eugenio Suarez",12552,553993
"Jackson Merrill","SDP",115,483,16,59,67,1,0.068322981,0.223602484,0.193181818,0.311526479,0.263636363,0.317427385,0.456818181,0.33119709861005914,0.3634741261694387,116.20445616275907,1.8950680363923311,11.171389637442246,2.269684672355652,3.0195200462223646,"Jackson Merrill",29490,701538
"Brandon Nimmo","NYM",155,652,25,81,92,13,0.076687116,0.216257668,0.173764907,0.301401869,0.262350936,0.324116743,0.436115843,0.3287401940272405,0.33058981088491585,114.08380106543058,1.3058202229440212,12.189147356952803,-4.5397162437438965,3.0023077215857725,"Brandon Nimmo",12927,607043
"Jackson Chourio","MIL",131,589,21,88,78,21,0.050933786,0.205432937,0.193078324,0.307506053,0.269581056,0.307823129,0.46265938,0.32846995980004434,0.31884375707051216,111.35224164419445,3.056685835123062,10.9815372363228,-1.9517136812210083,2.9290613265337595,"Jackson Chourio",28806,694192
"Max Muncy","LAD",100,388,19,48,67,4,0.164948453,0.213917525,0.226837061,0.263888888,0.242811501,0.376288659,0.469648562,0.3660966017394486,0.3875558487491904,136.88225240877588,0.4306705463677645,17.391354713926503,-1.7295278310775757,2.9233118960328768,"Max Muncy",13301,571970
"Jake Cronenworth","SDP",135,515,11,61,59,3,0.133980582,0.20776699,0.131264916,0.298701298,0.245823389,0.366666666,0.377088305,0.3330861906171548,0.324167597012257,117.49854494100151,-0.6324701569974422,10.048319738919025,1.3006732761859894,2.914415061281862,"Jake Cronenworth",18036,630105
"TJ Friedl","CIN",152,685,14,82,53,12,0.118248175,0.167883211,0.117443868,0.301098901,0.260794473,0.364170337,0.378238341,0.33261985330679694,0.3068005730124081,108.56034180948117,1.8264444209635258,8.77630165717805,-3.4704926013946533,2.874871378430566,"TJ Friedl",19522,670770
"Brendan Donovan","STL",118,515,10,64,50,3,0.081553398,0.130097087,0.134782609,0.315245478,0.286956521,0.35282651,0.42173913,0.33701156775156654,0.3564694273705576,118.59689135104449,-0.5290522873401642,10.822148050024808,-0.09978049993515015,2.8503034341142386,"Brendan Donovan",24679,680977
"Ian Happ","CHC",150,663,23,87,79,6,0.131221719,0.227752639,0.177504394,0.2875,0.242530755,0.342383107,0.420035149,0.3334078720225509,0.36325579556551846,115.77252036124874,-3.3135265223681927,9.080397540105192,-3.6878528594970703,2.808848502798784,"Ian Happ",17919,664023
"Willson Contreras","STL",135,563,20,70,80,5,0.078152753,0.252220248,0.189795918,0.319277108,0.257142857,0.34402852,0.446938775,0.34426162796361104,0.3688495048058076,123.56341575893369,-2.4634075686335564,13.259789101953173,-4.997234344482422,2.762045471597064,"Willson Contreras",11609,575929
"Gabriel Moreno","ARI",83,309,9,44,40,2,0.093851132,0.171521035,0.148014441,0.322580645,0.285198555,0.352750809,0.433212996,0.3396805127461751,0.3532990502529457,117.29298683781217,-0.4333619400858879,5.89983066685149,10.072312712669373,2.6861127832414122,"Gabriel Moreno",22664,672515
"Iván Herrera","STL",107,452,19,54,66,8,0.095132743,0.185840707,0.180412371,0.314878892,0.283505154,0.373333333,0.463917525,0.36456602705613544,0.37961256771344243,137.47258212875454,0.6493479590862989,20.723918388956193,-9.66788825392723,2.6699634750740735,"Ivan Herrera",20599,671056
"Caleb Durbin","MIL",136,506,11,60,53,18,0.059288537,0.098814229,0.130337078,0.265463917,0.256179775,0.333996023,0.386516853,0.31931711404508434,0.315639852292495,105.08224794564076,2.324430264532566,5.372329265668341,3.642627477645874,2.644974252493206,"Caleb Durbin",29646,702332
"Carson Kelly","CHC",111,421,17,48,50,2,0.106888361,0.190023752,0.178861788,0.27173913,0.249322493,0.332541567,0.428184281,0.33160556651067846,0.33078916282381976,114.53788312329624,-3.2383926417678595,4.015606078911524,7.65091609954834,2.6268877476042833,"Carson Kelly",13620,608348
"Isaac Collins","MIL",130,441,9,56,54,16,0.1292517,0.210884353,0.147849462,0.326007326,0.26344086,0.367579908,0.411290322,0.3444176029124761,0.3240047428646131,122.27689005395746,1.1655479799956083,12.809150104431087,-2.083733320236206,2.5986890839561125,"Isaac Collins",25477,686555
"Seiya Suzuki","CHC",151,651,32,75,103,5,0.10906298,0.251920122,0.232924694,0.281984334,0.245183887,0.325652841,0.478108581,0.34336035976043117,0.36551784991483294,122.59029453466638,-0.5240462403744459,16.905941742152088,-13.181694500148296,2.5973078788473174,"Seiya Suzuki",30116,673548
"Xavier Edwards","MIA",139,619,3,75,43,27,0.079159935,0.142164781,0.069518717,0.329809725,0.283422459,0.342532467,0.352941176,0.3083631902059437,0.2958432461353058,95.48281525010997,3.6122172567993402,0.2982157001685031,3.8364017605781555,2.5303527744291334,"Xavier Edwards",22266,669364
"Christian Yelich","MIL",150,644,29,88,103,16,0.099378881,0.25931677,0.188481675,0.322751322,0.263525305,0.343167701,0.45200698,0.3431630712878368,0.34118611621706973,121.41749554522096,2.847323501482606,19.194726098316266,-16.724196553230286,2.4452059998400006,"Christian Yelich",11477,592885
"Brandon Marsh","PHI",133,425,11,59,43,7,0.089411764,0.258823529,0.16358839,0.362595419,0.279683377,0.342042755,0.443271767,0.33920695114703403,0.3420677458187276,116.34232068203916,2.613740073516965,10.845579003875748,-1.2933074831962585,2.424191085062548,"Brandon Marsh",20202,669016
"Jung Hoo Lee","SFG",150,617,8,73,55,10,0.07617504,0.115072933,0.141071429,0.290721649,0.266071428,0.327390599,0.407142857,0.3199864445281376,0.32462699083777946,107.17950801800322,3.4935815017670393,8.743759826431402,-5.664755344390869,2.4155415363214243,"Jung Hoo Lee",33824,808982
"Otto Lopez","MIA",143,594,15,66,77,15,0.074074074,0.138047138,0.121323529,0.264444444,0.246323529,0.304713804,0.367647058,0.2948251313253029,0.3386504092458951,86.20880953158606,0.7152212839573622,-8.993955466294512,11.842464447021484,2.3136575366026206,"Otto Lopez",19608,672640
"Brett Baty","NYM",130,432,18,53,50,8,0.076388888,0.25,0.180661577,0.303703703,0.254452926,0.313225058,0.435114503,0.3236704915416213,0.3442046054573946,110.61089182065844,0.509192418307066,5.942069001924521,2.1483007073402405,2.2984511029142958,"Brett Baty",26123,683146
"Jakob Marsee","MIA",55,234,5,28,33,14,0.094017094,0.205128205,0.186602871,0.356687898,0.291866028,0.363247863,0.478468899,0.3633179086395818,0.3525901761689411,133.1285647262201,2.2423413451761007,11.43016569622729,1.7980303764343262,2.1500418990151138,"Jakob Marsee",31370,805300
"Jeff McNeil","NYM",122,462,12,42,54,3,0.106060606,0.119047619,0.167919799,0.25297619,0.243107769,0.334782608,0.411027568,0.3237252002745344,0.33435674299273577,110.64836906214204,-0.0038776546716690063,5.826803274427162,-0.5422672778367996,2.1135114935470387,"Jeff McNeil",15362,643446
"Alec Burleson","STL",139,546,18,54,69,5,0.071428571,0.144688644,0.169014085,0.311881188,0.28973843,0.342541436,0.458752515,0.3455924883319883,0.35212571634211215,124.47509791187049,-0.9695299360901117,14.868869313741833,-12.437286138534546,2.1075891387028065,"Alec Burleson",27615,676475
