Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR,NameASCII,PlayerId,MLBAMID
"Zach Neto","LAA",128,554,26,82,62,26,0.059566787,0.268953068,0.217131474,0.312121212,0.256972111,0.318840579,0.474103585,0.337106439220163,0.3546528798756582,115.58566304980467,2.9971766509115696,13.173891891090472,-0.9665608406066895,3.199728775725764,"Zach Neto",31347,687263
"Harrison Bader","- - -",146,501,17,61,54,11,0.077844311,0.271457085,0.171875,0.359060402,0.276785714,0.347305389,0.448660714,0.346380784126099,0.30348811025371053,121.9372868346894,-1.0045588538050652,11.986144623359964,2.2019572257995605,3.1930960495594163,"Harrison Bader",18030,664056
"Steven Kwan","CLE",156,693,11,81,56,21,0.079365079,0.086580086,0.1024,0.283422459,0.272,0.330434782,0.3744,0.30951694633032,0.31287676789039787,98.94299726875172,0.46063955314457417,-0.4027005581821437,7.59089469909668,3.175660384733874,"Steven Kwan",24610,680757
"Zach McKinstry","DET",144,511,12,68,49,19,0.090019569,0.217221135,0.17920354,0.314371257,0.258849557,0.333333333,0.438053097,0.33299771683155205,0.3081461488615085,113.6826954217801,4.38405298255384,12.624772537007052,0.7108400464057922,3.1637528484203066,"Zach McKinstry",19392,656716
"Trent Grisham","NYY",143,581,34,87,74,3,0.141135972,0.235800344,0.22874494,0.253086419,0.234817813,0.347676419,0.463562753,0.3532670625515936,0.37701360863375377,129.02449082001655,-3.003846574574709,16.871436226173923,-6.004803657531738,3.1576319774611226,"Trent Grisham",18564,663757
"Josh Naylor","- - -",147,604,20,81,92,30,0.079470198,0.137417218,0.167587477,0.314606741,0.2946593,0.353333333,0.462246777,0.3507002030042994,0.3385176971179097,127.55957763351991,0.5721452794969082,20.249581580196818,-9.822434782981873,3.147625121122678,"Josh Naylor",18839,647304
"CJ Abrams","WSN",144,635,19,92,60,31,0.058267716,0.196850393,0.175862069,0.296127562,0.256896551,0.315457413,0.43275862,0.32365244561085393,0.31812627469947174,107.31756540218946,7.371014513075352,12.878261370517475,-3.3364992141723633,3.1380419029091504,"CJ Abrams",25768,682928
"Drake Baldwin","ATL",124,446,19,56,80,0,0.085201793,0.152466367,0.195061728,0.289308176,0.274074074,0.340807174,0.469135802,0.3506518264255182,0.36216089222997827,125.32199832860624,-1.4987492691725492,11.886517781926445,3.9120153188705444,3.1347544211987524,"Drake Baldwin",31539,686948
"Bryson Stott","PHI",147,560,13,66,66,24,0.096428571,0.1625,0.134268537,0.288220551,0.256513026,0.327956989,0.390781563,0.3152057655837848,0.31774080505918983,99.90073669076088,3.849933385848999,3.7840507475456033,7.914202451705933,3.1033471899024505,"Bryson Stott",26294,681082
"Ben Rice","NYY",138,530,26,74,65,3,0.094339622,0.188679245,0.244111349,0.271137026,0.254817987,0.337121212,0.498929336,0.3584577606031389,0.410260832060899,132.60016845324574,-2.0193803012371063,18.344863540304008,-6.819757014513016,3.0454189489327113,"Ben Rice",29576,700250
"Austin Wells","NYY",126,448,21,51,71,5,0.066964285,0.263392857,0.216957606,0.245421245,0.219451371,0.275167785,0.436408977,0.3022235233245013,0.3020804024597989,93.86250687821568,-0.5778377074748278,-3.8185584380705277,18.152137845754623,3.0440193288816477,"Austin Wells",27562,669224
"Ryan O'Hearn","- - -",144,544,17,67,63,3,0.106617647,0.200367647,0.156118143,0.329545454,0.280590717,0.365808823,0.43670886,0.34921390215555825,0.34993149711296906,127.26868770556393,-0.6154702380299568,16.882451144521347,-5.790425002574921,3.0290271201772523,"Ryan O'Hearn",16442,656811
"Jackson Merrill","SDP",115,483,16,59,67,1,0.068322981,0.223602484,0.193181818,0.311526479,0.263636363,0.317427385,0.456818181,0.33119709861005914,0.3634741261694387,116.20445616275907,1.8950680363923311,11.171389637442246,2.269684672355652,3.0195200462223646,"Jackson Merrill",29490,701538
"Trevor Story","BOS",157,654,25,91,96,31,0.050458715,0.269113149,0.16993464,0.330097087,0.263071895,0.307810107,0.433006535,0.3203090862628141,0.3166351318359375,100.99665332453415,7.7696445770561695,8.537880202658204,-1.5712227821350098,3.015666110734076,"Trevor Story",12564,596115
"Brandon Nimmo","NYM",155,652,25,81,92,13,0.076687116,0.216257668,0.173764907,0.301401869,0.262350936,0.324116743,0.436115843,0.3287401940272405,0.33058981088491585,114.08380106543058,1.3058202229440212,12.189147356952803,-4.5397162437438965,3.0023077215857725,"Brandon Nimmo",12927,607043
"Ramón Laureano","- - -",132,488,24,72,76,7,0.071721311,0.243852459,0.231292517,0.331125827,0.281179138,0.342213114,0.512471655,0.36434990351205,0.3720705484606556,137.80491716799915,-0.6974401585757732,21.082301669050846,-8.679579377174377,2.9641859646837965,"Ramon Laureano",17128,657656
