"Name","Team","Pos","G","GS","Inn","PO","A","E","FE","TE","DP","DPS","DPT","DPF","Scp","SB","CS","PB","WP","FP","TZ","playerid","mlbamid"
"Alek Thomas","ARI","OF","139","121","1080.1","325","3","3","0","3","0","0","0","0","","","","","",".991","","23792","677950"
"Parker Meadows","DET","OF","57","55","468.0","118","1","1","0","1","0","0","0","0","","","","","",".992","","23800","678009"
"Jorge Barrosa","ARI","OF","33","17","176.1","54","0","0","0","0","0","0","0","0","","","","","","1.000","","23968","678489"
"Ceddanne Rafaela","BOS","OF","141","129","1167.1","319","8","5","2","3","0","0","0","0","","","","","",".985","","24262","678882"
"Johan Rojas","PHI","OF","65","46","418.2","111","3","2","1","1","0","1","0","0","","","","","",".983","","24336","679032"
"Max Schuemann","ATH","OF","13","5","50.0","6","0","0","0","0","0","0","0","0","","","","","","1.000","","24488","680474"
"Richie Palacios","TBR","OF","7","4","34.0","6","0","0","0","0","0","0","0","0","","","","","","1.000","","24589","680700"
"Addison Barger","TOR","OF","57","49","413.0","88","9","3","2","1","0","3","0","0","","","","","",".970","","24598","680718"
"Michael Helman","TEX","OF","35","29","259.2","89","1","0","0","0","0","1","0","0","","","","","","1.000","","24605","680737"
"Steven Kwan","CLE","OF","153","152","1329.0","309","13","8","0","8","0","2","0","0","","","","","",".976","","24610","680757"
"Jarren Duran","BOS","OF","169","151","1346.0","289","10","7","6","1","0","0","0","0","","","","","",".977","","24617","680776"
"Brendan Donovan","STL","OF","18","18","152.0","33","2","0","0","0","0","1","0","0","","","","","","1.000","","24679","680977"
"James Outman","MIN","OF","64","37","354.2","87","0","1","0","1","0","0","0","0","","","","","",".989","","24770","681546"
"Andy Pages","LAD","OF","199","155","1369.0","354","10","11","6","4","0","5","0","0","","","","","",".971","","24816","681624"
"Heriberto Hernandez","MIA","OF","51","42","346.0","81","0","3","3","0","0","0","0","0","","","","","",".964","","24878","681715"
"Justin Dean","CHC","OF","17","0","23.2","7","0","0","0","0","0","0","0","0","","","","","","1.000","","25005","681909"
"Nate Eaton","BOS","OF","25","14","134.0","26","1","0","0","0","0","1","0","0","","","","","","1.000","","25055","681987"
"Daniel Schneemann","CLE","OF","44","28","223.1","67","2","0","0","0","0","0","0","0","","","","","","1.000","","25180","682177"
"Isaac Collins","KCR","OF","116","97","876.2","172","2","5","3","2","0","0","0","0","","","","","",".972","","25477","686555"
"Brenton Doyle","COL","OF","131","125","1090.2","375","6","2","2","0","0","2","0","0","","","","","",".995","","25479","686668"
"Nick Sogard","BOS","OF","3","2","17.0","3","0","0","0","0","0","0","0","0","","","","","","1.000","","25483","686765"
"Korey Lee","CHW","OF","1","0","2.0","2","0","1","1","0","0","0","0","0","","","","","",".667","","25543","686676"
"Cody Freeman","TEX","OF","9","4","34.2","9","0","0","0","0","0","0","0","0","","","","","","1.000","","25629","683227"
"Grant McCray","SFG","OF","23","6","73.1","11","1","2","0","2","0","1","0","0","","","","","",".857","","25690","687529"
"Tyler Tolbert","KCR","OF","46","10","140.0","37","1","0","0","0","0","0","0","0","","","","","","1.000","","25779","686475"
"Ryan Kreidler","MIN","OF","17","14","117.1","34","0","0","0","0","0","0","0","0","","","","","","1.000","","25867","668952"
"Corbin Carroll","ARI","OF","141","136","1218.1","303","9","1","0","1","0","3","0","0","","","","","",".997","","25878","682998"
"Michael Harris II","ATL","OF","160","157","1397.0","402","1","1","0","1","0","0","0","0","","","","","",".998","","25931","671739"
"Kerry Carpenter","DET","OF","79","72","601.2","136","2","3","3","0","0","0","0","0","","","","","",".979","","25961","681481"
"Kevin Alcantara","CHC","OF","7","3","37.0","7","1","0","0","0","0","1","0","0","","","","","","1.000","","25971","682634"
"Riley Greene","DET","OF","141","131","1146.1","286","2","2","2","0","0","0","0","0","","","","","",".993","","25976","682985"
"Nasim Nunez","WSN","OF","2","0","7.0","4","0","0","0","0","0","0","0","0","","","","","","1.000","","25979","683083"
"Matthew Lugo","LAA","OF","28","14","147.2","27","1","2","2","0","0","0","0","0","","","","","",".933","","25980","683090"
"Victor Mesa Jr.","MIA","OF","16","9","92.1","25","0","0","0","0","0","0","0","0","","","","","","1.000","","25999","683748"
"Troy Johnston","COL","OF","24","19","138.0","27","0","1","1","0","0","0","0","0","","","","","",".964","","26143","687859"
