Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Andy Pages","LAD",34,149,135,35,22,7,0,6,18,20,10,0,34,2,1,0,,2,1,0.258016,0.0660555,0.225135,0.293403,0.317495,0.445496,0.330016,0.762992,0.18748,4.28024,0.299469,-0.00587232,-0.193546,19.4523,1.97989,111.921,-0.199419,0.228631,1.883784294128418,0.32986582070589066,0.72794,381.8599853515625,,,,,,,174.7,5.138235294,174.7,5.138235294,,,,,,,,,,,,,,,,,,,"Andy Pages","24816",681624
"Brice Turang","MIL",38,163,146,38,27,7,0,3,20,16,15,0,32,0,1,1,,9,2,0.259312,0.0892066,0.194572,0.458476,0.325989,0.377518,0.309961,0.703507,0.118206,5.83449,0.30897,0.06625,0.659925,18.6996,-0.477491,99.0658,0.726175,0.498787,0.5469985008239746,1.1469351649284363,0.723388,145.1300048828125,,,,,,,171.8,4.521052631,171.8,4.521052631,,,,,,,,,,,,,,,,,,,"Brice Turang","22186",668930
"Max Muncy","LAD",28,122,101,23,13,4,0,6,16,18,19,1,30,1,1,0,,1,0,0.227633,0.155045,0.245531,0.631469,0.35498,0.447138,0.349727,0.802118,0.219505,3.79149,0.260855,-0.012032,-0.135982,17.9283,3.57598,125.502,-0.148014,-0.715168,3.512827679514885,-0.481062576174736,0.722594,260.94000244140625,,,,,,,157.7,5.632142857,157.7,5.632142857,,,,,,,,,,,,,,,,,,,"Max Muncy","13301",571970
"James Wood","WSN",37,161,140,36,21,8,1,6,22,20,19,1,46,1,1,0,,5,2,0.258883,0.119406,0.282375,0.422861,0.350512,0.461493,0.349709,0.812006,0.202611,5.15316,0.334976,-0.014787,0.0422812,23.6422,4.71377,125.092,0.0274942,0.0152426,4.777927191928029,-3.2305908082053065,0.701208,53.29999923706055,,,,,,,210.8,5.697297297,210.8,5.697297297,,,,,,,,,,,,,,,,,,,"James Wood","29518",695578
"Jung Hoo Lee","SFG",36,156,141,38,26,8,2,2,17,16,12,0,15,1,1,0,,2,1,0.271753,0.0760409,0.0976658,0.778582,0.332145,0.408046,0.322687,0.740192,0.136294,5.20358,0.288453,-0.019,-0.313765,19.4541,1.14965,109.723,-0.332765,-0.292286,1.4473464488983154,0.2645045816898346,0.70023,233.94000244140625,,,,,,,165.2,4.588888888,165.2,4.588888888,,,,,,,,,,,,,,,,,,,"Jung Hoo Lee","33824",808982
"Otto Lopez","MIA",34,149,135,36,26,7,1,3,17,16,11,0,23,1,1,0,,4,2,0.266961,0.0738136,0.157002,0.470145,0.325428,0.385461,0.311967,0.710889,0.1185,4.92458,0.303746,0.0583877,-0.00524241,17.2789,-0.193532,97.556,0.0531453,0.626386,-0.37395361438393593,2.220830738544464,0.690265,322.1099853515625,,,,,,,158.8,4.670588235,158.8,4.670588235,,,,,,,,,,,,,,,,,,,"Otto Lopez","19608",672640
"Bryson Stott","PHI",36,154,138,35,25,6,1,3,18,16,14,0,26,1,1,0,,7,1,0.253248,0.0912907,0.171031,0.533767,0.32374,0.380563,0.310385,0.704303,0.127315,6.14026,0.290121,0.156344,0.577895,17.6987,-0.397732,96.2925,0.734238,1.02345,0.06319600343704224,1.5865639448165894,0.687894,172.64999389648438,,,,,,,164.8,4.577777777,164.8,4.577777777,,,,,,,,,,,,,,,,,,,"Bryson Stott","26294",681082
"Carson Kelly","CHC",26,101,89,22,14,4,0,3,12,12,10,0,18,1,1,0,,0,0,0.243811,0.103292,0.180498,0.57226,0.328761,0.403803,0.322468,0.732565,0.159993,2.51362,0.269743,-0.0875602,-0.14578,12.6121,0.728425,108.48,-0.23334,0.692771,0.7745761424303055,2.669623076915741,0.684289,533.52001953125,,,,,,,107,4.115384615,107,4.115384615,,,,,,,,,,,,,,,,,,,"Carson Kelly","13620",608348
"Jeff McNeil","NYM",34,149,132,35,24,7,1,3,16,16,12,1,18,3,1,0,,1,0,0.263853,0.0821765,0.118125,0.695672,0.336195,0.401996,0.322707,0.738191,0.138142,4.3546,0.281661,-0.187515,-0.0728206,18.5723,1.09983,110.291,-0.260336,-0.0911427,1.5381523370742798,0.25052399188280106,0.684286,446.95001220703125,,,,,,,165.1,4.855882352,165.1,4.855882352,,,,,,,,,,,,,,,,,,,"Jeff McNeil","15362",643446
"Ian Happ","CHC",37,160,138,34,20,8,0,5,21,19,19,0,37,1,1,0,,2,1,0.243694,0.120495,0.232999,0.517147,0.338983,0.421507,0.333294,0.76049,0.177812,4.06991,0.292463,0.0321345,-0.083308,21.2992,2.54829,115.939,-0.0511735,0.146186,2.938114382326603,-1.5908515453338623,0.675569,130.16000366210938,,,,,,,183.6,4.962162162,183.6,4.962162162,,,,,,,,,,,,,,,,,,,"Ian Happ","17919",664023
