Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Brenden Dixon","PIT",78,285,255,50,33,9,1,7,26,29,25,0,100,3,1,1,5,3,1,0.196078,0.0877193,0.350877,0.25,0.274648,0.321569,0.266593,0.596216,0.12549,4.0797,0.288591,,-0.286444,23.3408,-9.99793,66.5154,-0.286444,-5.2,-11.698179692029953,-4.152821660041809,-0.658653,999,,,,,,,209.5,2.685897435,209.5,2.685897435,,,,,,,,,,,,,,,,,,,"Brenden Dixon","sa3017397",686981
"Addison Kopack","SDP",44,152,143,29,17,8,2,2,15,14,8,0,67,1,0,0,8,1,3,0.202797,0.0526316,0.440789,0.119403,0.25,0.328671,0.253532,0.578671,0.125874,5.625,0.364865,,-1.22022,10.8506,-6.93008,63.9881,-1.22022,-1,-7.765849351882935,-3.7924749851226807,-0.671903,999,,,,,,,93.3,2.120454545,93.3,2.120454545,,,,,,,,,,,,,,,,,,,"Addison Kopack","sa3023052",688551
"Aaron Bracho","LAD",103,407,371,74,49,13,2,10,36,49,28,1,110,4,4,0,5,2,1,0.199461,0.0687961,0.27027,0.254545,0.260442,0.326146,0.25782,0.586588,0.126685,3.45004,0.25098,,-0.6364,30.4583,-17.1517,64.8954,-0.6364,5,-17.721599578857422,-2.4772191047668457,-0.688861,999,,,,,,,283.5,2.752427184,283.5,2.752427184,,,,,,,,,,,,,,,,,,,"Aaron Bracho","sa3010018",677570
"Garrett Spain","MIL",105,382,350,63,39,13,2,9,33,37,26,1,130,3,1,2,5,7,2,0.18,0.0680628,0.340314,0.2,0.242105,0.305714,0.241978,0.54782,0.125714,5.13957,0.254717,,0.0611949,23.7168,-20.9689,52.1623,0.0611949,1,-21.79101037234068,2.4035861492156982,-0.690887,999,,,,,,,231.2,2.201904761,231.2,2.201904761,,,,,,,,,,,,,,,,,,,"Garrett Spain","sa3017174",696521
"William Lugo","NYM",104,419,373,69,44,15,1,9,38,43,38,0,126,5,3,0,8,2,1,0.184987,0.0906921,0.300716,0.301587,0.267303,0.302949,0.256411,0.570252,0.117962,3.25321,0.248963,,-0.691647,30.8813,-18.1325,65.7625,-0.691647,-7.4,-17.846100449562073,-2.781393527984619,-0.691938,999,,,,,,,277.2,2.665384615,277.2,2.665384615,,,,,,,,,,,,,,,,,,,"William Lugo","sa3010876",683493
"Ruben Ibarra","CIN",106,412,370,77,50,13,0,14,38,51,31,1,127,8,3,0,8,1,1,0.208108,0.0752427,0.308252,0.244094,0.281553,0.356757,0.281079,0.63831,0.148649,1.77974,0.271552,,-0.89954,38.5452,-9.64975,72.3773,-0.89954,1.5,-14.508495926856995,-6.069077014923096,-0.710813,999,,,,,,,346.6,3.26981132,346.6,3.26981132,,,,,,,,,,,,,,,,,,,"Ruben Ibarra","sa3017053",702140
"Scott Bandura","SFG",86,372,331,67,45,15,3,4,48,33,32,0,114,6,3,0,7,12,4,0.202417,0.0860215,0.306452,0.280702,0.282258,0.302115,0.262998,0.584373,0.0996979,7.05482,0.291667,,0.124903,29.3894,-14.1265,68.6491,0.124903,-6.8,-13.821235992014408,-5.433157205581665,-0.711477,999,,,,,,,268,3.116279069,268,3.116279069,,,,,,,,,,,,,,,,,,,"Scott Bandura","sa3022699",814154
"Griffin Lockwood-Powell","LAD",106,429,388,79,53,16,0,10,39,45,33,0,122,5,3,0,11,1,1,0.203608,0.0769231,0.284382,0.270492,0.272727,0.322165,0.264896,0.594892,0.118557,1.94142,0.266409,,-0.923217,34.5479,-15.6357,69.6578,-0.923217,3.2,-16.488798141479492,-4.681393384933472,-0.713656,999,,,,,,,307.9,2.904716981,307.9,2.904716981,,,,,,,,,,,,,,,,,,,"Griffin Lockwood-Powell","sa3019303",674976
"Johnny Ascanio","CIN",95,348,308,65,49,12,0,4,32,29,22,0,71,4,2,12,2,5,2,0.211039,0.0632184,0.204023,0.309859,0.270833,0.288961,0.25148,0.559794,0.0779221,3.65185,0.259574,,-0.401944,24.2673,-16.4411,52.4553,-0.401944,0.4,-20.187243789434433,1.678659588098526,-0.716844,999,,,,,,,210.3,2.21368421,210.3,2.21368421,,,,,,,,,,,,,,,,,,,"Johnny Ascanio","sa3015526",691392
"Cole Foster","SFG",77,326,300,56,40,11,1,4,29,31,15,0,112,8,1,2,8,4,2,0.186667,0.0460123,0.343558,0.133929,0.243827,0.27,0.23134,0.513827,0.0833333,4.50817,0.281081,,-0.507235,17.4487,-20.6861,47.3413,-0.507235,-0.4,-21.035344004631042,3.193474382162094,-0.723513,999,,,,,,,159.8,2.075324675,159.8,2.075324675,,,,,,,,,,,,,,,,,,,"Cole Foster","sa3022673",694369
"Cal Conley","ATL",126,532,488,108,83,18,3,4,60,44,32,1,120,4,3,5,7,19,7,0.221311,0.0601504,0.225564,0.266667,0.273245,0.295082,0.252802,0.568327,0.0737705,6.25935,0.283379,,0.0336494,37.6644,-24.5679,58.6269,0.0336494,-4.4,-26.286640256643295,1.4641976356506348,-0.737254,999,,,,,,,348.2,2.763492063,348.2,2.763492063,,,,,,,,,,,,,,,,,,,"Cal Conley","sa3017080",695462
"Elio Prado","PHI",90,360,324,62,45,10,2,5,33,34,28,0,87,6,1,1,8,8,5,0.191358,0.0777778,0.241667,0.321839,0.267409,0.280864,0.248652,0.548274,0.0895062,5.0398,0.244635,,-1.04853,24.2847,-17.8274,56.437,-1.04853,4.6,-19.802008628845215,0.6317460536956787,-0.743984,999,,,,,,,213.8,2.375555555,213.8,2.375555555,,,,,,,,,,,,,,,,,,,"Elio Prado","sa3008807",682799
"Torin Montgomery","MIA",80,321,288,63,47,11,0,5,29,32,26,0,109,6,1,0,6,0,0,0.21875,0.0809969,0.339564,0.238532,0.29595,0.309028,0.273289,0.604978,0.0902778,1.30357,0.331429,,-0.623501,28.0192,-9.5308,70.9871,-0.623501,-0.4,-11.760230600833893,-6.297266393899918,-0.762947,999,,,,,,,239.7,2.99625,239.7,2.99625,,,,,,,,,,,,,,,,,,,"Torin Montgomery","sa3019823",687942
"Nathan Martorella","MIA",130,530,480,105,69,21,1,14,58,55,42,0,113,3,5,0,11,4,1,0.21875,0.0792453,0.213208,0.371681,0.283019,0.354167,0.280321,0.637186,0.135417,3.67384,0.25419,,-0.504743,49.2615,-12.7369,75.7196,-0.504743,0.6,-15.89315789937973,-9.136919379234314,-0.765564,999,,,,,,,446,3.43076923,446,3.43076923,,,,,,,,,,,,,,,,,,,"Nathan Martorella","sa3019978",687210
