Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Joe Jiménez","ATL",0.505589,0.686112,0,3.56047,17.3544,0,0.167186,3.11542,0.390349,17.8457,73.2606,14.7967,7.67378,7.05988,1.94953,5.63477,0.211819,0.898226,20.9075,10.5441,2.84175,3.71044,0.983197,0.285385,0.076914,0.20847110450267792,0.221748,1.1449,0.292842,0.720687,,,3.34176,0.184162,0.157585,742.52001953125,1.43237,-0.0455836,1.24009,1.43237,0.0455836,3.34655,102.60000000000002,5.700000000000001,97,5.388888888888889,,,,,,,,,,,,,,,,,,,"Joe Jimenez","15761",641729
"Caleb Kilian","CHC",1.06877,1.29309,0.150915,4.41085,16.4068,1.77077,0,1.21435,0,26.2594,114.07,26.2861,13.9887,12.8696,2.7801,9.49545,0.471776,1.87382,20.5674,7.04916,3.25442,2.16603,0.952835,0.180305,0.0832421,0.09706281125545502,0.255948,1.36262,0.296219,0.683388,,,4.2752,0.183871,0.0612614,740.8400268554688,1.53702,-0.979375,0.939809,1.53702,0.979375,3.74692,100.9,3.880769230769231,104,4,,,,,,,,,,,,,,,,,,,"Caleb Kilian","26213",668873
"Michael Grove","LAD",2.37223,1.73702,0,4.07107,32.8869,0.410246,0,5.12864,0.111647,39.5989,166.55,36.8716,19.4698,17.9122,5.49997,12.0685,0.524078,2.0453,41.7125,9.48038,2.74293,3.4563,1.25003,0.250451,0.0724621,0.1779886856675148,0.241883,1.2359,0.298143,0.714603,,,3.93459,0.182613,0.188929,999,2.68462,-0.461211,0.788854,2.68462,0.461211,3.94819,200.3,5.0075,197,4.925,,,,,,,,,,,,,,,,,,,"Michael Grove","23221",675627
"Keaton Winn","SFG",1.53365,1.89258,0.859157,4.38985,16.4167,1.65619,0.0288672,0.698632,0,24.8448,104.648,23.556,13.1721,12.1183,2.99333,7.36878,0.189727,1.42467,22.6291,8.19735,2.66933,3.07094,1.08433,0.21624,0.070415,0.1458251103758812,0.245748,1.24472,0.292782,0.664046,,,3.97291,0.179704,0.106156,741.4500122070312,2.82393,-0.595761,0.978473,2.82393,0.595761,3.69537,111.69999999999999,4.468,112,4.48,,,,,,,,,,,,,,,,,,,"Keaton Winn","23499",676775
"Eli Morgan","CHC",2.79968,1.8157,0,3.98116,42.0903,0,0.000951499,3.71551,1.56739,46.7917,195.29,43.4397,22.4982,20.6984,6.62738,13.9224,0.883051,1.76409,43.9144,8.44658,2.67787,3.15422,1.27472,0.224868,0.0712911,0.15357673168182373,0.241864,1.2259,0.28523,0.725066,,,4.13645,0.179662,0.25568,999,1.46265,1.106,0.748253,1.46265,-1.106,4.00233,205.90000000000003,4.380851063829788,200,4.25531914893617,,,,,,,,,,,,,,,,,,,"Eli Morgan","20203",669212
"Robby Snelling","MIA",1.56215,2.92867,2.4425,4.7994,6.8127,6.68231,0,0,0,36.6962,162.54,39.5196,21.2705,19.5689,5.18011,14.8255,0,1.40941,27.8766,6.83693,3.63605,1.88032,1.27046,0.171506,0.0912109,0.08029472827911377,0.270117,1.48094,0.303222,0.702326,,,4.80951,0.179441,0.264229,999,4.55821,-1.68833,0.633417,4.55821,1.68833,4.15544,116.30000000000001,3.1432432432432433,128,3.4594594594594597,,,,,,,,,,,,,,,,,,,"Robby Snelling","sa3020707",702281
"Joey Wentz","PIT",2.30803,3.96862,0.283962,4.55325,50.3682,1.30586,0.203004,5.20181,0,62.235,271.743,61.9971,34.2236,31.4857,8.15529,26.2802,0.669619,2.36181,61.4592,8.88781,3.80047,2.33861,1.17936,0.226167,0.0967098,0.12945683300495148,0.255026,1.41845,0.310352,0.703276,,,4.2756,0.17363,-0.00854079,999,5.16147,-0.860785,0.405901,5.16147,0.860785,4.4588,257.2,4.148387096774194,264,4.258064516129032,,,,,,,,,,,,,,,,,,,"Joey Wentz","19962",666214
"Trevor McDonald","SFG",1.32586,1.66995,0,3.93029,25.9833,0,0,1.05666,0,33.967,145.085,33.3276,16.1232,14.8333,2.83203,10.8536,0.558724,2.05956,26.958,7.14287,2.8758,2.48379,0.750383,0.185809,0.0748086,0.11100002378225327,0.252154,1.30071,0.297862,0.697676,,,3.80356,0.168901,0.176162,999,2.06457,-1.1594,0.954293,2.06457,1.1594,3.72761,147.90000000000003,4.350000000000001,150,4.411764705882353,,,,,,,,,,,,,,,,,,,"Trevor McDonald","26448",686790
"Hunter Stratton","PIT",1.33348,1.0942,0,4.08674,23.0085,0,0.311619,3.5362,1.89972,24.5456,104.953,23.0133,12.1149,11.1457,2.67288,9.06554,0.263919,1.44668,23.0336,8.4456,3.32401,2.54079,0.980048,0.219466,0.0863769,0.13308868557214737,0.243679,1.30691,0.295927,0.704522,,,3.99012,0.158033,0.144905,999,1.2771,0.884064,0.994705,1.2771,-0.884064,3.67373,120.3,4.812,118,4.72,,,,,,,,,,,,,,,,,,,"Hunter Stratton","23455",676702
"Victor Vodnik","COL",3.54492,3.69668,0,4.49321,58.1514,0,5.30704,9.49699,3.8563,63.6685,283.669,64.5149,34.5502,31.7862,6.69615,31.5267,1.08971,2.3525,60.1838,8.50741,4.45652,1.90898,0.946549,0.212162,0.111139,0.10102289915084839,0.258276,1.50846,0.316104,0.709513,,,4.23954,0.155343,0.27595,731.4500122070312,2.79678,-1.96078,0.825688,2.79678,1.96078,3.89908,297.5,4.6484375,308,4.8125,,,,,,,,,,,,,,,,,,,"Victor Vodnik","24614",680767
"Tyler Alexander","MIL",3.01213,3.16893,1.51526,4.67859,33.1914,4.97067,0,1.5373,0,58.6638,246.4,60.5654,33.1478,30.496,10.7327,12.9357,0.949268,2.18689,48.6605,7.46532,1.98455,3.76172,1.64657,0.197486,0.0524988,0.14498712494969368,0.261874,1.25292,0.289921,0.690091,,,4.65925,0.153284,0.0777631,747.52001953125,1.70852,-0.846661,0.523011,1.70852,0.846661,4.30265,203.70000000000002,3.4525423728813562,213,3.610169491525424,,,,,,,,,,,,,,,,,,,"Tyler Alexander","17735",641302
"Dauri Moreta","PIT",1.72116,1.32851,0,4.13056,27.862,0,0.221914,2.0958,0.782751,28.9775,122.11,25.1301,14.4557,13.2992,3.54026,11.1969,0.61417,1.45844,31.6083,9.81711,3.4776,2.82296,1.09955,0.258851,0.0916952,0.16715619713068008,0.229594,1.25363,0.290554,0.697191,,,3.88334,0.1522,0.160011,999,0.761674,-1.45283,0.919493,0.761674,1.45283,3.77401,136.40000000000003,4.70344827586207,129,4.448275862068965,,,,,,,,,,,,,,,,,,,"Dauri Moreta","21101",664294
"Riley O'Brien","STL",1.88659,1.9016,0,4.27164,41.2573,0,0.0385971,4.28182,2.18125,44.2027,194.166,40.6306,22.8041,20.9798,4.83024,21.7918,0.632078,3.11338,45.1224,9.18725,4.43697,2.07061,0.983473,0.232391,0.112233,0.12015795707702637,0.240048,1.41219,0.300067,0.711791,,,4.23574,0.151714,-0.00894443,999,4.0627,-2.65447,0.60715,4.0627,2.65447,4.19047,188.50000000000003,4.28409090909091,186,4.2272727272727275,,,,,,,,,,,,,,,,,,,"Riley O'Brien","20348",676617
"Stephen Kolek","SDP",1.98335,1.14307,0.159236,4.46535,28.7231,0.829662,0,1.42536,1.27194,35.4635,154.727,37.2595,19.1252,17.5952,3.47885,11.9403,0.527091,2.32839,29.3222,7.44145,3.03023,2.45574,0.88287,0.189509,0.07717,0.11233927309513092,0.265271,1.38733,0.313779,0.678433,,,3.99513,0.149864,-0.026309,999,2.55275,-0.917675,0.709095,2.55275,0.917675,4.05454,145.89999999999998,4.168571428571428,156,4.457142857142857,,,,,,,,,,,,,,,,,,,"Stephen Kolek","21487",663568
"Yosver Zulueta","CIN",2.07025,1.79512,0,4.37957,40.1887,0,0.0328909,2.44803,1.25492,45.7754,204.15,44.2742,24.2121,22.2752,4.66168,23.4445,0.617135,3.22466,45.8479,9.01425,4.60947,1.9556,0.916543,0.22458,0.11484,0.10974009335041046,0.24946,1.47937,0.311981,0.71098,,,4.23503,0.148318,0.163892,999,1.87873,-0.503086,0.552076,1.87873,0.503086,4.2639,186.50000000000003,4.054347826086957,187,4.065217391304348,,,,,,,,,,,,,,,,,,,"Yosver Zulueta","27765",691172
"Jack O'Loughlin","COL",0.303039,0.191836,0,5.3771,11.6085,0.701361,0,2.00725,0,22.478,102.935,26.1025,14.5974,13.4296,2.1235,10.5694,0.337393,0.851951,18.7637,7.51283,4.23189,1.77529,0.850234,0.182287,0.10268,0.07960694283246994,0.285232,1.63146,0.33952,0.65505,,,4.24941,0.148051,-0.102684,999,4.5847,-0.930486,0.827889,4.5847,0.930486,3.89615,80.60000000000002,3.6636363636363645,94,4.2727272727272725,,,,,,,,,,,,,,,,,,,"Jack O'Loughlin","22690",672552
"Tyler Stuart","WSN",1.34514,1.88981,0.0959211,3.99544,30.8136,0.131174,0,1.46548,0,34.8873,147.526,33.9814,16.8346,15.4878,4.17348,10.2379,0,1.78411,30.7971,7.94482,2.6411,3.00814,1.07665,0.208757,0.0693974,0.1393599957227707,0.250779,1.26749,0.296499,0.713583,,,3.9899,0.147899,0.130554,999,1.5764,-1.18274,0.941908,1.5764,1.18274,3.74412,151.4,4.325714285714286,153,4.371428571428571,,,,,,,,,,,,,,,,,,,"Tyler Stuart","sa3020264",701603
"Brent Suter","CIN",2.29777,2.06849,0,4.08428,51.277,0.485168,0.447833,7.12375,0.697145,59.1296,252.401,60.7495,29.1669,26.8335,8.06998,17.186,0.646793,2.39893,46.5731,7.08881,2.61585,2.70994,1.22832,0.18452,0.0680901,0.11642991751432419,0.260933,1.31805,0.295664,0.731849,,,4.35909,0.145245,0.383149,999,2.14948,0.620062,0.60063,2.14948,-0.620062,4.19916,244.60000000000005,4.145762711864408,256,4.338983050847458,,,,,,,,,,,,,,,,,,,"Brent Suter","13942",608718
"Huascar Brazobán","NYM",1.94687,1.76171,0,4.04078,38.1564,0,0.0288223,4.68648,2.62622,42.1062,182.179,37.059,20.5485,18.9046,4.21229,20.3713,0.891056,2.2193,42.8912,9.1678,4.35428,2.10547,0.900358,0.235435,0.111821,0.1236141175031662,0.232217,1.36394,0.292011,0.715691,,,4.03926,0.140859,0.0897789,999,1.70127,-0.640798,0.707435,1.70127,0.640798,4.05675,205.40000000000003,4.890476190476191,198,4.714285714285714,,,,,,,,,,,,,,,,,,,"Huascar Brazoban","6107",623211
"Bryan Hoeing","SDP",3.00949,3.07788,0.195462,4.09037,50.2509,0.856583,0,7.78406,0.363014,62.4118,263.311,60.7179,30.8318,28.3652,7.42645,18.7799,0.685645,2.19467,49.8883,7.19407,2.70812,2.65648,1.07092,0.189465,0.0713221,0.11814331263303757,0.250552,1.27376,0.288028,0.704276,,,4.12288,0.138248,0.18994,999,1.90575,0.292846,0.537505,1.90575,-0.292846,4.28333,283.0999999999999,4.566129032258063,288,4.645161290322581,,,,,,,,,,,,,,,,,,,"Bryan Hoeing","26304",663773
"Thomas Harrington","PIT",0.457301,0.883607,0.791422,4.40867,3.45586,2.692,0,0,0,14.1362,59.6069,14.1453,7.52676,6.92462,2.06371,3.91011,0,0.415283,11.0977,7.06554,2.48943,2.83822,1.31389,0.186182,0.0655983,0.12058370560407639,0.255878,1.27725,0.286837,0.694217,,,4.41215,0.129365,0.0942993,999,2.3055,0.929878,1.17909,2.3055,-0.929878,3.42788,52.6,3.757142857142857,54,3.857142857142857,,,,,,,,,,,,,,,,,,,"Thomas Harrington","sa3020752",802419
"Peter Strzelecki","PIT",1.27731,1.6315,0,4.29645,25.7694,0,0,3.10305,0.897814,27.5796,119.547,27.1853,14.3109,13.166,3.13282,10.1244,0.60307,1.98052,25.3632,8.27675,3.30386,2.50517,1.02233,0.212162,0.0846895,0.1274721771478653,0.253024,1.3528,0.304671,0.698547,,,4.12062,0.12117,0.105884,999,3.39995,-1.24329,0.906014,3.39995,1.24329,3.79198,126.10000000000004,4.50357142857143,127,4.535714285714286,,,,,,,,,,,,,,,,,,,"Peter Strzelecki","21367",657265
"Davis Daniel","ATL",1.02372,1.40188,0.339593,4.45201,15.1531,0.746666,0,0.710488,0,21.1034,90.3182,21.9269,11.3469,10.4392,2.83231,6.0947,0.103248,0.88589,18.9817,8.09515,2.59922,3.11445,1.2079,0.210164,0.0674803,0.14268388599157333,0.263109,1.32782,0.310361,0.69315,,,4.10465,0.11996,0.0689123,999,3.89551,-1.34488,1.00863,3.89551,1.34488,3.65516,82.3,3.919047619047619,87,4.142857142857143,,,,,,,,,,,,,,,,,,,"Davis Daniel","27582",669721
"Daniel Palencia","CHC",1.78693,1.39316,0,4.1968,21.1054,0,0.28654,1.26079,0.0836087,23.73,102.718,19.9016,12.0278,11.0656,2.21302,12.3819,0,1.38027,26.9199,10.2098,4.69603,2.17414,0.839324,0.262075,0.120542,0.14153319597244263,0.223724,1.36045,0.295682,0.694038,,,3.84983,0.117718,0.0513024,999,2.15322,-0.197843,0.894004,2.15322,0.197843,3.80799,120.00000000000003,5.000000000000001,113,4.708333333333333,,,,,,,,,,,,,,,,,,,"Daniel Palencia","27914",694037
"Taijuan Walker","PHI",3.88146,4.09817,2.76412,4.83514,37.402,5.87755,0,0.902031,0,68.5266,297.566,70.1116,40.0163,36.815,10.7401,24.9499,0.369034,3.0918,51.2617,6.73251,3.27682,2.05459,1.41056,0.17227,0.0838468,0.08842359483242035,0.260131,1.38722,0.286097,0.687846,,,4.93547,0.116895,-0.0276867,749.7999877929688,3.1216,-1.52164,0.356394,3.1216,1.52164,4.52481,215.3,3.120289855072464,224,3.246376811594203,,,,,,,,,,,,,,,,,,,"Taijuan Walker","11836",592836
"Omar Cruz","SDP",1.51029,1.998,0.508843,4.21762,27.1771,1.94238,0,1.34703,0,34.1209,146.873,31.2581,17.3803,15.9899,4.2716,14.1944,0.423937,2.12882,33.094,8.72914,3.74403,2.33148,1.12671,0.225324,0.0966439,0.1286798194050789,0.239434,1.3321,0.289604,0.711188,,,4.28932,0.115668,0.169822,999,1.92833,0.559524,0.824945,1.92833,-0.559524,3.90007,143.80000000000004,4.229411764705883,140,4.117647058823529,,,,,,,,,,,,,,,,,,,"Omar Cruz","sa3006971",678316
"Sean Reid-Foley","NYM",2.29432,2.41619,0,3.97169,41.0754,0,0,5.85693,0.690026,43.0356,186.411,37.0686,20.643,18.9915,4.71543,22.5009,0.481018,1.60805,46.8497,9.79764,4.7056,2.08212,0.986134,0.251324,0.120706,0.13061855733394623,0.228393,1.38419,0.292162,0.734908,,,4.09427,0.113805,0.143562,999,1.80118,-2.54773,0.663549,1.80118,2.54773,4.11527,203.5,4.732558139534884,193,4.488372093023256,,,,,,,,,,,,,,,,,,,"Sean Reid-Foley","17034",656887
"Cody Poteet","CHC",1.95908,0.8921,0.404072,3.76484,19.4256,1.00429,0,0.925819,0,27.2368,114.123,24.5099,12.3843,11.3936,3.21371,9.25061,0.305946,1.1036,24.2673,8.01879,3.05673,2.62332,1.06193,0.212642,0.0810582,0.1315833479166031,0.236197,1.23952,0.279156,0.730528,,,4.05889,0.113677,0.272112,999,1.49386,-1.09108,1.01141,1.49386,1.09108,3.65145,119.9,4.440740740740741,118,4.37037037037037,,,,,,,,,,,,,,,,,,,"Cody Poteet","18769",547001
"Sixto Sánchez","MIA",0.420409,1.25373,0,5.09213,4.92622,3.51422,0,0.859833,0.543936,16.3031,72.4375,18.6737,10.0263,9.22416,1.65131,5.42684,0.230275,0.894992,9.59938,5.29927,2.99585,1.76887,0.911592,0.13252,0.0749176,0.05760200321674347,0.28244,1.47828,0.31026,0.645944,,,4.46891,0.113297,0.017319,999,3.02683,1.11339,1.04144,3.02683,-1.11339,3.61142,50.40000000000001,3.150000000000001,60,3.75,,,,,,,,,,,,,,,,,,,"Sixto Sanchez","19680",664350
