ID,G,GS,CG,ShO,W,L,SV,BS,HO,IP,BF,AB,H,D,T,HR,BB,HP,ER,R,K
5428,18,18,0,0,6,6,0,0,0,109,0,0,105,0,0,16,28,0,49,53,86,CRea
7706,21,21,0,0,6,6,0,0,0,108,0,0,96,0,0,14,42,0,51,55,105,KHarrison
7335,19,19,0,0,5,7,0,0,0,106,0,0,99,0,0,15,41,0,56,61,112,RDetmers
7117,20,16,0,0,7,5,0,0,0,106,0,0,92,0,0,13,28,0,42,45,90,KHart
7075,21,21,0,0,7,5,0,0,0,105,0,0,80,0,0,11,27,0,37,41,116,KRocker
8900,21,21,0,0,6,6,0,0,0,105,0,0,86,0,0,13,49,0,48,52,111,HBirdsong
5327,21,21,0,0,4,7,0,0,0,105,0,0,116,0,0,16,40,0,63,69,82,WBuehler
8192,19,19,0,0,4,7,0,0,0,101,0,0,97,0,0,18,29,0,54,58,74,JEstes
3431,19,19,0,0,6,5,0,0,0,101,0,0,93,0,0,9,28,0,39,44,85,ACobb
6847,23,18,0,0,5,6,0,0,0,101,0,0,104,0,0,13,33,0,50,55,102,KBubic
9077,16,16,0,0,6,5,0,0,0,99,0,0,86,0,0,12,34,0,44,48,98,QMathews
6947,18,18,0,0,4,7,0,0,0,98,0,0,89,0,0,14,44,0,57,62,95,JLeiter
5373,19,19,0,0,6,5,0,0,0,97,0,0,78,0,0,12,27,0,39,42,99,MBoyd
7251,19,19,0,0,6,5,0,0,0,97,0,0,87,0,0,11,21,0,39,42,95,DRasmussen
4524,19,19,0,0,5,6,0,0,0,97,0,0,89,0,0,13,37,0,51,56,87,FMontas
6366,19,19,0,0,5,6,0,0,0,97,0,0,90,0,0,10,40,0,46,51,80,JHicks
4867,20,16,0,0,6,5,0,0,0,94,0,0,91,0,0,13,30,0,40,43,75,TWilliams
8422,20,16,0,0,5,5,0,0,0,93,0,0,80,0,0,14,19,0,42,45,82,CBradford
5734,20,16,0,0,4,6,0,0,0,93,0,0,84,0,0,14,46,0,46,50,86,TMcKenzie
5809,20,16,0,0,4,6,0,0,0,92,0,0,96,0,0,13,23,0,49,54,82,CPaddack
8487,16,16,0,0,3,7,0,0,0,92,0,0,95,0,0,14,38,0,54,59,95,CDollander
8699,15,15,0,0,4,6,0,0,0,91,0,0,79,0,0,13,33,0,43,47,74,DThorpe
6578,22,13,0,0,5,5,0,0,0,90,0,0,88,0,0,11,31,0,44,48,73,GCanning
7360,19,13,0,0,5,5,0,0,0,90,0,0,90,0,0,13,25,0,44,47,69,RNelson
7302,18,18,0,0,5,5,0,0,0,89,0,0,76,0,0,13,32,0,40,44,88,LGarcia
5111,16,16,0,0,5,5,0,0,0,89,0,0,75,0,0,10,34,0,39,42,81,STurnbull
8634,18,18,0,0,5,5,0,0,0,89,0,0,80,0,0,10,32,0,39,43,92,DFesta
7780,18,18,0,0,5,5,0,0,0,89,0,0,73,0,0,13,37,0,40,43,73,JJobe
4541,18,18,0,0,4,5,0,0,0,89,0,0,90,0,0,13,26,0,45,49,72,SMatz
6499,18,18,0,0,4,6,0,0,0,89,0,0,94,0,0,11,27,0,47,52,69,CMize
7513,15,15,0,0,4,6,0,0,0,87,0,0,93,0,0,11,23,0,48,54,48,JKochanowicz
4985,22,15,0,0,5,4,0,0,0,85,0,0,86,0,0,12,27,0,40,43,84,GHolmes
8901,24,10,0,0,5,4,0,0,0,85,0,0,74,0,0,10,35,0,35,38,82,LRoupp
6086,15,15,0,0,5,4,0,0,0,85,0,0,73,0,0,10,19,0,32,36,80,SBieber
8918,21,10,0,0,4,5,0,0,0,83,0,0,66,0,0,10,41,0,37,40,82,YaRodriguez
6078,16,16,0,0,5,4,0,0,0,81,0,0,79,0,0,9,32,0,39,43,65,IAnderson
5817,17,13,0,0,5,4,0,0,0,80,0,0,81,0,0,10,26,0,38,42,60,PBlackburn
8454,15,15,0,0,4,5,0,0,0,80,0,0,70,0,0,11,30,0,42,46,72,CPovich
8908,13,13,0,0,4,5,0,0,0,78,0,0,68,0,0,12,29,0,40,44,67,CDana
6520,17,11,0,0,3,6,0,0,0,78,0,0,82,0,0,14,24,0,40,44,59,BWilson
8659,17,13,0,0,3,5,0,0,0,77,0,0,67,0,0,11,30,0,39,42,69,OBido
7414,15,15,0,0,4,4,0,0,0,77,0,0,67,0,0,9,35,0,34,37,77,JCantillo
5837,13,13,0,0,4,5,0,0,0,77,0,0,80,0,0,11,23,0,40,44,58,JMontgomery
3796,19,8,0,0,4,5,0,0,0,76,0,0,76,0,0,10,28,0,39,43,56,TWalker
9091,15,11,0,0,4,5,0,0,0,76,0,0,75,0,0,11,15,0,38,41,71,ZMatthews
8122,17,13,0,0,4,4,0,0,1,76,0,0,67,0,0,11,25,0,35,38,69,HWesneski
6466,20,8,0,0,5,3,0,0,0,75,0,0,63,0,0,10,28,0,31,34,58,DMay
7847,13,13,0,0,4,4,0,0,0,74,0,0,65,0,0,10,29,0,33,36,70,BChandler
8010,13,13,0,0,4,5,0,0,0,74,0,0,71,0,0,10,19,0,38,42,61,MWaldron
7033,68,0,0,0,6,3,36,0,0,73,0,0,58,0,0,6,13,0,20,22,65,EClase
8469,70,0,0,0,5,3,2,0,21,73,0,0,63,0,0,8,24,0,26,28,92,CSmith
6845,15,15,0,0,5,3,0,0,0,73,0,0,57,0,0,10,24,0,32,35,64,TGonsolin
8255,45,0,0,0,5,4,2,0,15,73,0,0,64,0,0,10,20,0,27,29,62,HGaddis
7074,15,15,0,0,4,4,0,0,0,73,0,0,52,0,0,9,36,0,30,33,76,LGil
6364,65,0,0,0,4,4,17,0,12,73,0,0,73,0,0,8,26,0,32,35,63,KFinnegan
7521,15,15,0,0,3,5,0,0,0,73,0,0,69,0,0,10,27,0,38,41,70,AMarsh
7917,15,15,0,0,3,5,0,0,0,73,0,0,65,0,0,11,24,0,36,38,79,EPerez
7701,15,15,0,0,3,5,0,0,0,73,0,0,72,0,0,9,23,0,39,44,54,JTGinn
6708,70,0,0,0,5,3,2,0,22,72,0,0,59,0,0,9,34,0,27,29,89,BAbreu
7228,54,0,0,0,4,4,10,0,12,72,0,0,64,0,0,9,26,0,30,33,77,EUceta
4528,24,0,0,0,3,5,0,0,4,72,0,0,68,0,0,9,23,0,32,35,61,MClevinger
5400,16,11,0,0,4,4,0,0,0,72,0,0,62,0,0,9,31,0,35,38,68,MSoroka
8210,42,0,0,0,4,4,6,0,16,71,0,0,70,0,0,8,26,0,29,32,68,JKoenig
8398,61,0,0,0,4,4,15,0,8,71,0,0,61,0,0,8,25,0,28,31,80,RGarcia
6698,62,0,0,0,3,4,13,0,19,71,0,0,64,0,0,9,34,0,35,38,69,JWebb
5059,59,0,0,0,3,5,2,0,15,71,0,0,74,0,0,10,26,0,36,39,68,SArmstrong
8123,62,0,0,0,5,3,29,0,0,70,0,0,48,0,0,6,25,0,21,23,103,MMiller
7621,18,8,0,0,4,4,0,0,0,70,0,0,65,0,0,8,25,0,33,36,69,TMegill
5514,67,0,0,0,4,4,4,0,16,70,0,0,60,0,0,9,34,0,30,33,81,JLeclerc
8565,13,13,0,0,4,4,0,0,0,70,0,0,73,0,0,9,20,0,35,38,56,RLowder
8641,63,0,0,0,5,3,25,0,6,70,0,0,56,0,0,7,22,0,22,24,79,RWalker
6176,64,0,0,0,4,4,6,0,16,70,0,0,71,0,0,7,14,0,28,31,49,TyRogers
7551,66,0,0,0,4,4,2,0,11,70,0,0,68,0,0,9,23,0,30,33,65,WVest
7974,38,0,0,0,4,4,16,0,14,70,0,0,66,0,0,10,30,0,32,35,64,BBrieske
7333,13,13,0,0,3,4,0,0,0,69,0,0,63,0,0,11,25,0,34,37,47,EHancock
9263,14,8,0,0,3,5,0,0,0,69,0,0,74,0,0,9,22,0,39,43,53,SOgasawara
7499,59,0,0,0,3,5,3,0,6,69,0,0,77,0,0,9,30,0,37,41,63,VVodnik
4039,64,0,0,0,5,3,11,0,12,69,0,0,56,0,0,6,17,0,23,26,76,GJax
4987,36,0,0,0,4,3,4,0,18,69,0,0,60,0,0,9,24,0,28,31,72,LWeaver
5833,21,3,0,0,4,4,0,0,0,69,0,0,65,0,0,9,15,0,27,30,59,JJunis
8184,13,13,0,0,3,5,0,0,0,69,0,0,66,0,0,8,23,0,38,42,64,WWarren
4656,70,0,0,0,5,3,38,0,0,68,0,0,50,0,0,8,28,0,23,25,93,JHader
6428,59,0,0,0,4,3,2,0,15,68,0,0,67,0,0,7,31,0,31,33,75,RGarrett
4750,60,0,0,0,4,4,11,0,8,68,0,0,69,0,0,8,22,0,28,31,54,DLaw
6610,31,0,0,0,3,4,2,0,19,68,0,0,71,0,0,9,26,0,35,38,60,MLiberatore
7546,23,0,0,0,5,3,0,0,10,68,0,0,65,0,0,7,14,0,24,27,65,GWhitlock
2894,64,0,0,0,4,3,17,0,5,68,0,0,50,0,0,6,42,0,28,30,98,AChapman
