Name,Team,W,L,QS,ERA,G,GS,SV,HLD,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,PlayerId
"Stephen Kolek","SDP",5,6,,4.92857,33,11,0,6,84,378,83,50,46,12,39,1,8,72,7.71429,4.17857,1.84615,1.28571,0.190476,0.103175,0.0873015895485878,0.250755,1.45238,0.287449,0.684411,,,5.07647,0.159231,-0.0213642,999,,,,"21487"
"Nick Snyder","PHI",1,2,,4.76471,37,1,0,1,34,150,33,19,18,5,15,0,1,36,9.52941,3.97059,2.4,1.32353,0.24,0.1,0.13999999314546585,0.246269,1.41176,0.301075,0.707317,,,4.46092,0.15867,0.029031,999,,,,"23493"
"Tyler Eckberg","MIA",2,3,,4.42373,36,0,0,0,59,258,68,31,29,8,12,1,2,41,6.25424,1.83051,3.41667,1.22034,0.158915,0.0465116,0.11240310221910477,0.278689,1.35593,0.307692,0.712209,,,4.33979,0.158668,0.170022,999,,,,"sa3017365"
"Drew Carlton","SDP",3,4,,4.22449,36,1,0,0,49,207,46,25,23,7,17,0,1,44,8.08163,3.12245,2.58824,1.28571,0.21256,0.0821256,0.1304347813129425,0.243386,1.28571,0.282609,0.714286,,,4.41831,0.155898,0.125624,999,,,,"19868"
"Jesse Chavez","ATL",2,1,,4.5,39,2,0,1,42,184,43,23,21,7,16,0,1,44,9.42857,3.42857,2.75,1.5,0.23913,0.0869565,0.15217391401529312,0.257485,1.40476,0.310345,0.731707,,,4.54075,0.154426,0.140379,750.0399780273438,,,,"5448"
"Colin Holderman","PIT",1,2,,4.5,50,0,1,9,50,216,48,27,25,6,20,1,3,45,8.1,3.6,2.25,1.08,0.208333,0.0925926,0.11574073880910873,0.248705,1.36,0.295775,0.687919,,,4.39504,0.152433,0.0974499,744.6300048828125,,,,"22361"
"Lucas Gilbreath","COL",2,4,,5.40338,29,7,0,1,53.3,247,55,35,32,8,32,0,3,51,8.61163,5.40338,1.59375,1.35084,0.206478,0.129555,0.07692307233810425,0.259434,1.63227,0.30719,0.686016,,,5.26255,0.149705,0.234791,999,,,,"21290"
"Tommy Nance","SDP",1,2,,4.5,27,3,0,1,34,147,31,18,17,5,15,1,2,36,9.52941,3.97059,2.4,1.32353,0.244898,0.102041,0.1428571417927742,0.238462,1.35294,0.292135,0.717949,,,4.54916,0.147772,0.107337,999,,,,"19178"
"Jaden Hill","COL",3,5,,5.72727,15,15,0,0,44,204,47,30,28,7,21,0,7,36,7.36364,4.29545,1.71429,1.43182,0.176471,0.102941,0.07352941483259201,0.267045,1.54545,0.300752,0.652921,,,5.59595,0.14745,0.271351,999,,,,"sa3019731"
"Lucas Sims","CIN",4,5,,4.90909,61,0,2,14,55,235,43,32,30,8,32,2,7,66,10.8,5.23636,2.0625,1.30909,0.280851,0.13617,0.14468085765838623,0.219388,1.36364,0.286885,0.673981,,,4.87322,0.145988,-0.00484049,623.1300048828125,,,,"13470"
