Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Jared Kollar","SDP",0,0,0,5.53255,1,1,0,0,,3.95908,18,4,3,2,1,1,0,0,2,4.80873,3.2434,1.48262,1.56065,0.120533,0.0812969,0.03923572599887848,0.275827,1.47089,0.282397,0.650973,,,5.54104,-0.00764799,-0.0559205,999,,,,,,,7.597193622589112,1.9189289435494779,7.795401096343994,1.9689929641748265,,,,,,,,,,,,,,,,,,,"Jared Kollar","sa3020439",806577
"Layonel Ovalles","NYM",0,0,0,5.49828,1,1,0,0,,2.37738,10,2,2,1,0,1,0,0,1,5.48902,4.95431,1.10793,1.29835,0.141128,0.12738,0.013747960329055786,0.261351,1.52252,0.279171,0.647655,,,5.5975,-0.00767709,-0.0534496,999,,,,,,,11.392590045928955,4.792083833010311,10.886885166168213,4.579368360162953,,,,,,,,,,,,,,,,,,,"Layonel Ovalles","sa3015993",693803
"Harry Gustin","SDP",0,0,0,4.54101,1,0,0,0,,1.94432,8,2,1,1,0,1,0,0,2,7.46812,4.13707,1.80517,1.18887,0.193815,0.107366,0.08644835650920868,0.244159,1.38094,0.28071,0.693856,,,4.71722,-0.00767995,-0.00120893,999,,,,,,,10.187997722625735,5.239866213550662,10.721620082855225,5.514317568202224,,,,,,,,,,,,,,,,,,,"Harry Gustin","sa3023229",814480
"Landon Tomkins","PIT",0,0,0,5.11838,1,0,0,0,,1.23673,5,1,1,1,0,1,0,0,1,5.66482,4.20342,1.34767,1.04427,0.144911,0.107527,0.037383630871772766,0.272476,1.50989,0.300735,0.659572,,,4.93338,-0.00772266,-0.0324075,999,,,,,,,5.551829195022584,4.4891065127735645,5.183668375015259,4.191418475770434,,,,,,,,,,,,,,,,,,,"Landon Tomkins","sa3022798",814280
"Kleyderve Andrade","PHI",0,0,0,5.04411,1,0,0,0,,1.45,6,1,1,1,0,1,0,0,1,7.97171,4.22957,1.88476,1.4535,0.199293,0.105739,0.09355339407920837,0.254622,1.46919,0.291168,0.689453,,,5.02322,-0.00783404,-0.0217038,999,,,,,,,7.130000352859497,4.917241460956657,6.250000238418579,4.310344850265738,,,,,,,,,,,,,,,,,,,"Kleyderve Andrade","sa3019745",804694
"Jarod Bayless","PIT",0,0,0,4.86125,1,0,0,0,,1.81373,8,2,1,1,0,1,0,0,1,6.34989,3.00024,2.11646,1.3826,0.164361,0.0776585,0.08670272678136826,0.262037,1.35921,0.28544,0.672349,,,4.85438,-0.00784796,-0.00234683,999,,,,,,,7.221636414527894,3.9816388864223433,8.068673253059387,4.448651433293926,,,,,,,,,,,,,,,,,,,"Jarod Bayless","sa3010236",663681
"Cesar Rojas","WSN",0,0,0,4.96896,1,0,0,0,,1.24615,5,1,1,1,0,1,0,0,1,6.89974,4.65643,1.48177,1.25221,0.174923,0.11805,0.05687273293733597,0.252177,1.47923,0.282874,0.682172,,,5.11622,-0.00789016,-0.034976,999,,,,,,,5.62153835296631,4.511111077098036,5.230769157409668,4.197530854749454,,,,,,,,,,,,,,,,,,,"Cesar Rojas","sa3019244",700291
"Ben McLaughlin","ARI",0,0,0,5.09994,1,0,0,0,,1.06667,5,1,1,1,0,0,0,0,1,6.57374,3.8001,1.72988,1.27699,0.166952,0.0965106,0.07044162601232529,0.268434,1.47042,0.29886,0.669539,,,4.92941,-0.00797445,-0.0418665,999,,,,,,,7.293333745002746,6.83750002933666,7.333333611488342,6.874999902211135,,,,,,,,,,,,,,,,,,,"Ben McLaughlin","sa3025256",808768
"Tucker Musgrove","SDP",0,0,0,4.71536,1,0,0,0,,1.42857,6,1,1,1,0,1,0,0,1,7.1329,4.155,1.7167,1.24143,0.186481,0.108627,0.07785368710756302,0.246669,1.38422,0.279266,0.681698,,,4.87308,-0.00799964,-0.0281715,999,,,,,,,6.97142882347107,4.880000060081481,6.142857313156128,4.3000000166893,,,,,,,,,,,,,,,,,,,"Tucker Musgrove","sa3067261",814491
"Lisandro Almonte","CHC",0,0,0,5.51279,1,1,0,0,,2.41794,11,2,2,1,0,1,0,0,2,6.50034,5.05365,1.28627,1.40444,0.159313,0.123857,0.035456106066703796,0.263787,1.59511,0.288667,0.672718,,,5.56515,-0.00804712,-0.0482355,999,,,,,,,13.692778205871583,5.66298634888343,13.089715003967285,5.4135746788372785,,,,,,,,,,,,,,,,,,,"Lisandro Almonte","sa3015497",699226
"Wyatt Mills","LAD",0,0,0,5.01186,1,0,0,0,,1.625,7,2,1,1,0,1,0,0,1,7.06025,4.10998,1.71783,1.28508,0.180498,0.105073,0.07542470842599869,0.259941,1.455,0.293664,0.674667,,,4.93902,-0.00806635,-0.0124641,999,,,,,,,5.825,3.5846153846153848,7.125,4.384615384615385,,,,,,,,,,,,,,,,,,,"Wyatt Mills","20010",670090
