Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Colin Rea","CHC",6,6,,4.45739,31,19,0,1,,125,528,126,67,62,18,33,,6,96,6.94829,2.3598,2.94444,1.311,0.182444,0.0619621,0.1204819306731224,0.258364,1.27458,0.288835,0.687075,,,4.45563,0.837375,0.788192,598.6699829101562,,,,,,,455,3.64,470,3.76,,,,,,,,,,,,,,,,,,,"Colin Rea","12317",607067
"Ian Anderson","ATL",5,4,,4.11371,24,16,0,1,,84,366,82,41,39,9,36,,1,74,7.92642,3.81271,2.07895,1.00334,0.203085,0.0976864,0.10539846122264862,0.248571,1.39353,0.295019,0.72973,,,4.15868,0.831252,0.996897,562.0399780273438,,,,,,,338.7,4.032142857142857,344,4.095238095238095,,,,,,,,,,,,,,,,,,,"Ian Anderson","19951",666120
"Alexis Díaz","CIN",5,4,,3.81729,65,0,28,3,,65,267,48,30,28,5,31,,6,68,9.39641,4.25775,2.2069,0.734095,0.253968,0.115079,0.1388888731598854,0.207373,1.20718,0.27027,0.686567,,,3.85163,0.828426,0.939832,146.97999572753906,,,,,,,471.7,7.256923076923076,437,6.723076923076923,,,,,,,,,,,,,,,,,,,"Alexis Diaz","21132",664747
"DJ Herz","WSN",5,8,,4.42897,36,19,0,1,,98,429,84,52,48,12,52,,7,107,9.86072,4.76323,2.07018,1.08635,0.248945,0.120253,0.12869198620319366,0.227384,1.39276,0.28777,0.705615,,,4.35497,0.816357,0.724996,320.92999267578125,,,,,,,400.20000000000005,4.083673469387755,375,3.826530612244898,,,,,,,,,,,,,,,,,,,"DJ Herz","26389",687792
"Dylan Lee","ATL",4,2,,3.10345,62,0,0,13,,62,252,53,24,21,7,16,,0,74,10.7069,2.32759,4.6,1.08621,0.292373,0.0635593,0.2288135588169098,0.226244,1.12069,0.296552,0.778986,,,3.132,0.806293,0.90959,748.0700073242188,,,,,,,386.8999999999999,6.24032258064516,371,5.983870967741935,,,,,,,,,,,,,,,,,,,"Dylan Lee","19996",669276
"Dennis Santana","PIT",3,2,,3.79254,66,0,2,12,,66,278,58,30,28,5,26,,3,64,8.75203,3.50081,2.5,0.729335,0.230769,0.0923077,0.13846155256032944,0.23176,1.26418,0.291667,0.704225,,,3.58787,0.802243,0.791128,623.5700073242188,,,,,,,375.1000000000001,5.6833333333333345,364,5.515151515151516,,,,,,,,,,,,,,,,,,,"Dennis Santana","17878",642701
"Javier Assad","CHC",6,5,,4.1316,45,21,0,1,,135,584,129,67,62,17,54,,6,110,7.29916,3.58072,2.03846,1.10176,0.187611,0.0920354,0.09557521343231201,0.246548,1.35425,0.283117,0.72445,,,4.46717,0.794958,1.27727,634.1500244140625,,,,,,,498.5,3.6925925925925926,498,3.688888888888889,,,,,,,,,,,,,,,,,,,"Javier Assad","21741",665871
"Anthony Bender","MIA",4,4,,3.68421,60,0,5,12,,60,255,53,27,25,5,22,,5,64,9.64912,3.33333,2.89474,0.701754,0.252294,0.087156,0.16513758897781372,0.230769,1.24756,0.301471,0.702055,,,3.3809,0.793204,0.644939,700.0700073242188,,,,,,,364.7,6.078333333333333,355,5.916666666666667,,,,,,,,,,,,,,,,,,,"Anthony Bender","19742",669622
"Frankie Montas","NYM",5,7,,4.64692,19,19,0,0,,98,428,94,55,51,14,40,,4,93,8.54214,3.69021,2.31481,1.29841,0.21815,0.0942408,0.12390924245119095,0.245136,1.36674,0.289189,0.691004,,,4.48766,0.784058,0.416421,429.42999267578125,,,,,,,362.6,3.7,362,3.693877551020408,,,,,,,,,,,,,,,,,,,"Frankie Montas","14309",593423
"Cade Cavalli","WSN",4,4,,4.26112,28,13,0,1,,75,330,69,39,36,8,33,,6,72,8.65136,4.00287,2.16129,0.903874,0.218954,0.101307,0.11764705926179886,0.237918,1.36298,0.292308,0.692488,,,4.14209,0.759509,0.620104,624.7999877929688,,,,,,,308.20000000000005,4.109333333333334,302,4.026666666666666,,,,,,,,,,,,,,,,,,,"Cade Cavalli","27473",676917
"Kevin Ginkel","ARI",6,3,,3.10832,61,0,3,14,,61,253,53,23,21,6,19,,2,64,9.46625,2.82575,3.35,0.847724,0.253788,0.0757576,0.17803029716014862,0.227273,1.17739,0.289941,0.765766,,,3.32347,0.749754,1.1713,609.2000122070312,,,,,,,375.8000000000001,6.1606557377049205,363,5.950819672131147,,,,,,,,,,,,,,,,,,,"Kevin Ginkel","19876",656464
"A.J. Minter","NYM",6,3,,3.39623,54,0,2,11,,54,219,45,22,20,6,17,,1,59,9.84906,2.88679,3.41176,1.01887,0.269767,0.0790698,0.19069766998291016,0.22335,1.15094,0.285714,0.741445,,,3.46837,0.735167,0.805296,672.1300048828125,,,,,,,326.8,6.051851851851852,310,5.7407407407407405,,,,,,,,,,,,,,,,,,,"A.J. Minter","18655",621345
"Camilo Doval","SFG",6,4,,3.46154,62,0,10,12,,62,265,49,26,24,5,31,,4,76,11.0769,4.43077,2.5,0.692308,0.28777,0.115108,0.17266187816858292,0.210744,1.27692,0.292994,0.736842,,,3.36648,0.70202,0.745162,377.4800109863281,,,,,,,414.9,6.691935483870967,390,6.290322580645161,,,,,,,,,,,,,,,,,,,"Camilo Doval","21992",666808
"Michael Soroka","WSN",7,10,,4.61287,52,15,0,1,,125,544,119,70,64,18,49,,10,117,8.44057,3.53326,2.38889,1.2759,0.21608,0.0904523,0.12562814354896545,0.24507,1.34133,0.289062,0.687023,,,4.54053,0.68398,0.506038,507.3699951171875,,,,,,,455.20000000000005,3.6416000000000004,452,3.616,,,,,,,,,,,,,,,,,,,"Michael Soroka","18383",647336
"Jordan Romano","PHI",6,4,,3.77358,59,0,23,4,,59,246,51,27,25,7,21,,2,66,10,3.20755,3.11765,1.13208,0.266332,0.0854271,0.18090452998876572,0.227778,1.21593,0.289256,0.725806,,,3.77445,0.667985,0.649358,177.88999938964844,,,,,,,411.9,6.98135593220339,398,6.745762711864407,,,,,,,,,,,,,,,,,,,"Jordan Romano","16122",605447
"Pierce Johnson","ATL",6,5,,3.65112,64,0,2,12,,64,277,57,29,26,8,27,,1,79,11.1359,3.83367,2.90476,1.09533,0.286385,0.0985915,0.18779342621564865,0.230366,1.31846,0.306452,0.759717,,,3.61273,0.657544,0.721832,706.8300170898438,,,,,,,359.00000000000006,5.609375000000001,348,5.4375,,,,,,,,,,,,,,,,,,,"Pierce Johnson","13435",572955
"Alex Vesia","LAD",5,3,,3.32263,58,0,0,14,,58,236,42,23,21,7,25,,2,75,11.7014,3.90048,3,1.01124,0.318898,0.106299,0.21259842813014984,0.2,1.1557,0.277372,0.755627,,,3.4233,0.647546,0.722117,706.6099853515625,,,,,,,358.90000000000003,6.18793103448276,324,5.586206896551724,,,,,,,,,,,,,,,,,,,"Alex Vesia","25007",681911
"Caleb Ferguson","PIT",3,3,,3.29068,60,0,1,11,,60,262,54,24,22,3,23,,5,64,9.54296,3.45521,2.7619,0.493601,0.242678,0.0878661,0.15481171756982803,0.230047,1.27971,0.302632,0.729483,,,3.18476,0.638556,0.65966,999,,,,,,,359.70000000000005,5.995000000000001,354,5.9,,,,,,,,,,,,,,,,,,,"Caleb Ferguson","19349",657571
"Dustin May","LAD",4,4,,3.5809,52,5,0,4,,72,292,60,31,29,8,23,,6,73,9.07162,2.86472,3.16667,0.954907,0.25,0.0789474,0.17105263471603394,0.226277,1.14058,0.284211,0.721925,,,3.72351,0.624531,0.652383,415.92999267578125,,,,,,,353.4000000000001,4.908333333333335,331,4.597222222222222,,,,,,,,,,,,,,,,,,,"Dustin May","19716",669160
"Jason Adam","SDP",5,2,,3.2459,67,0,3,12,,67,268,48,26,24,8,23,,8,77,10.3279,3.09836,3.33333,1.03279,0.286885,0.0860656,0.2008196860551834,0.203704,1.06557,0.266187,0.742754,,,3.74025,0.614664,1.18889,337.4800109863281,,,,,,,396.59999999999997,5.919402985074626,355,5.298507462686567,,,,,,,,,,,,,,,,,,,"Jason Adam","11861",592094
"Kirby Yates","LAD",6,3,,3.48162,60,0,9,11,,60,245,43,26,23,6,30,,5,72,10.793,4.52611,2.38462,0.870406,0.293839,0.123223,0.17061611264944077,0.20442,1.21857,0.280702,0.732143,,,3.76609,0.611763,0.734264,201.35000610351562,,,,,,,386.4,6.4399999999999995,350,5.833333333333333,,,,,,,,,,,,,,,,,,,"Kirby Yates","9073",489446
"Ryne Nelson","ARI",6,5,,4.00574,55,10,0,1,,101,425,100,48,45,13,27,,3,82,7.30079,2.45513,2.97368,1.16296,0.192177,0.0646259,0.12755102664232254,0.252747,1.26346,0.289157,0.722812,,,4.12843,0.603256,0.885744,398.94000244140625,,,,,,,405.5000000000001,4.014851485148516,414,4.099009900990099,,,,,,,,,,,,,,,,,,,"Ryne Nelson","26253",669194
"Reed Garrett","NYM",8,6,,3.70588,66,0,0,15,,66,289,56,30,27,6,32,,1,80,10.9412,4.41176,2.48,0.882353,0.278027,0.112108,0.16591928899288177,0.218274,1.33333,0.292308,0.737705,,,3.53903,0.585576,0.354954,743.9099731445312,,,,,,,390.0000000000001,5.909090909090911,373,5.651515151515151,,,,,,,,,,,,,,,,,,,"Reed Garrett","16866",657585
